Paper_DOI,Reference_DOI
10.1109/ICIET57285.2023.10220929,10.18280/ts.370318
10.48550/arXiv.2308.11721,10.1093/qje/qjae013
10.48550/arXiv.2308.11721,10.48550/arXiv.2306.04930
10.48550/arXiv.2308.11721,10.48550/arXiv.2306.03928
10.48550/arXiv.2308.11721,10.48550/arXiv.2306.01646
10.48550/arXiv.2308.11721,10.48550/arXiv.2306.00074
10.2139/ssrn.3935555,10.1016/j.egyr.2021.08.133
10.2139/ssrn.3935555,10.1016/J.JECE.2021.106202
10.2139/ssrn.3935555,10.1016/J.MEASUREMENT.2021.109857
10.2139/ssrn.3935555,10.1016/j.egyr.2021.06.018
10.2139/ssrn.3935555,10.1016/J.JAAP.2021.105180
10.1007/s10994-015-5496-x,10.1016/j.patcog.2013.08.022
10.1007/s10994-015-5496-x,10.1109/TPAMI.2012.193
10.1007/s10994-015-5496-x,10.1109/ICCV.2013.317
10.1007/s10994-015-5496-x,10.1109/TPAMI.2013.231
10.1007/s10994-015-5496-x,10.1109/CVPR.2013.378
10.1002/anbr.202300085,10.1021/acsomega.2c06471
10.1002/anbr.202300085,10.1002/mabi.202200043
10.1002/anbr.202300085,10.1002/adma.202102703
10.1002/anbr.202300085,10.1038/s41598-021-98170-x
10.1002/anbr.202300085,10.1186/s40824-021-00228-4
10.56083/rcv4n12-124,10.1201/9781003125129
10.56083/rcv4n12-124,10.5121/ijaia.2019.10604
10.56083/rcv4n12-124,10.1142/S1793351X16500045
10.3991/ijet.v16i16.23405,10.1109/ISACS48493.2019.9068867
10.3991/ijet.v16i16.23405,10.1016/J.COMPEDU.2019.103642
10.3991/ijet.v16i16.23405,10.3991/IJET.V14I14.10664
10.3991/ijet.v16i16.23405,10.1080/10494820.2018.1558257
10.3991/ijet.v16i16.23405,10.1145/3292147.3292202
10.3389/fonc.2025.1531465,10.3389/fimmu.2025.1521554
10.3389/fonc.2025.1531465,10.1101/2023.08.26.554759
10.3389/fonc.2025.1531465,10.1016/j.bbcan.2024.189168
10.3389/fonc.2025.1531465,10.3390/ijms25115704
10.3389/fonc.2025.1531465,10.1038/s41598-024-58982-z
10.4103/jmss.jmss_47_23,10.1016/j.acra.2024.04.011
10.4103/jmss.jmss_47_23,10.1259/bjr.20211253
10.4103/jmss.jmss_47_23,10.3390/diagnostics12040799
10.4103/jmss.jmss_47_23,10.5114/pjr.2022.113435
10.4103/jmss.jmss_47_23,10.3322/caac.21708
10.3389/fpubh.2024.1329704,10.1136/bmjopen-2023-073876
10.3389/fpubh.2024.1329704,10.3389/fpubh.2023.1224062
10.3389/fpubh.2024.1329704,10.3389/fpubh.2023.1121761
10.3389/fpubh.2024.1329704,10.3390/ijerph20064945
10.3389/fpubh.2024.1329704,10.26855/jhass.2023.01.021
10.3390/ijerph21050521,10.3389/fpubh.2023.1257714
10.3390/ijerph21050521,10.1177/01939459231217935
10.3390/ijerph21050521,10.1016/j.jcjq.2023.10.011
10.3390/ijerph21050521,10.1002/sd.2676
10.3390/ijerph21050521,10.1007/s11069-023-06062-2
10.1101/2024.09.19.613896,10.1093/bioinformatics/btae197
10.1101/2024.09.19.613896,10.1101/2023.08.02.551517
10.1101/2024.09.19.613896,10.1093/nar/gkac1072
10.1101/2024.09.19.613896,10.1038/s41431-022-01213-8
10.1101/2024.09.19.613896,10.1093/nar/gkab772
10.1016/j.bdr.2017.07.002,10.1007/s00778-016-0427-4
10.1016/j.bdr.2017.07.002,10.1109/ICIS.2016.7550906
10.1016/j.bdr.2017.07.002,10.1109/TNNLS.2015.2424995
10.1016/j.bdr.2017.07.002,10.2991/ICICCI-15.2015.13
10.1109/ISNCC.2019.8909134,10.1007/s10586-018-1795-x
10.1109/ISNCC.2019.8909134,10.1007/s11063-010-9160-y
10.1109/ISNCC.2019.8909134,10.1109/TITB.2010.2055060
10.1109/ISNCC.2019.8909134,10.1109/TNN.2010.2048039
10.1109/ISNCC.2019.8909134,10.1109/IJCNN.2003.1223991
10.1016/j.anucene.2024.110952,10.1007/s41365-024-01400-w
10.1016/j.anucene.2024.110952,10.1103/physrevapplied.19.034028
10.1016/j.anucene.2024.110952,10.2139/ssrn.4167910
10.1016/j.anucene.2024.110952,10.1080/00295639.2021.2014752
10.1016/j.anucene.2024.110952,10.1016/J.ANUCENE.2019.04.005
10.3390/w14081300,10.1016/j.hal.2022.102189
10.3390/w14081300,10.1016/j.jenvman.2022.114476
10.3390/w14081300,10.1016/j.hal.2021.102148
10.3390/w14081300,10.1016/j.jenvman.2021.114071
10.3390/w14081300,10.1016/j.compag.2021.106568
10.3390/s21175948,10.3390/s21144846
10.3390/s21175948,10.1088/1361-6501/abef3b
10.3390/s21175948,10.3390/s21062016
10.3390/s21175948,10.1007/s00521-020-05497-z
10.3390/s21175948,10.1007/s10340-020-01309-4
10.1016/j.aiig.2022.10.003,10.1016/j.aiig.2022.02.002
10.1016/j.aiig.2022.10.003,10.1016/j.aiig.2021.11.002
10.1016/j.aiig.2022.10.003,10.1007/s11053-020-09750-z
10.1016/j.aiig.2022.10.003,10.1002/gj.4005
10.1016/j.aiig.2022.10.003,10.1144/SP499-2019-79
10.3390/s23031639,10.1109/TITS.2022.3157056
10.3390/s23031639,10.1109/JIOT.2022.3143375
10.3390/s23031639,10.1016/j.mlwa.2022.100441
10.3390/s23031639,10.1109/JIOT.2021.3078148
10.3390/s23031639,10.1109/JSTSP.2022.3231527
10.1155/2023/9853636,10.1155/2022/7751263
10.1186/s12904-022-01113-0,10.3390/cancers12051149
10.1186/s12904-022-01113-0,10.1097/CCM.0000000000004016
10.1186/s12904-022-01113-0,10.1089/jpm.2019.0147
10.1186/s12904-022-01113-0,10.1007/s11606-019-05169-2
10.1186/s12904-022-01113-0,10.1016/S1470-2045(18)30060-3
10.1007/s11416-023-00469-y,10.1109/tdsc.2019.2954088
10.1007/s11416-023-00469-y,10.3390/APP11073201
10.1007/s11416-023-00469-y,10.1007/s13198-020-01036-0
10.1007/s11416-023-00469-y,10.1109/TDSC.2021.3076142
10.1007/s11416-023-00469-y,10.1109/TDSC.2019.2942930
10.1109/CISIS.2011.22,10.1155/2013/350358
10.1109/CISIS.2011.22,10.1145/1273496.1273543
10.1109/CISIS.2011.22,10.1109/ICDMW.2006.31
10.1109/CISIS.2011.22,10.1109/ICMLA.2005.6
10.1109/CISIS.2011.22,10.1007/s10472-009-9138-5
10.1016/j.heliyon.2024.e30251,10.1186/s10033-023-00843-3
10.1016/j.heliyon.2024.e30251,10.1016/j.ast.2023.108148
10.1016/j.heliyon.2024.e30251,10.3390/pr11010082
10.1016/j.heliyon.2024.e30251,10.1016/j.iintel.2022.100006
10.1016/j.heliyon.2024.e30251,10.1016/j.bea.2022.100069
10.3389/fcell.2022.937761,10.1016/j.pneurobio.2022.102268
10.3389/fcell.2022.937761,10.3389/fnmol.2021.807969
10.3389/fcell.2022.937761,10.3389/fnins.2021.699583
10.3389/fcell.2022.937761,10.1038/s41598-021-99538-9
10.3389/fcell.2022.937761,10.1016/j.neuron.2021.06.026
10.48175/ijarsct-14367,10.1016/j.autcon.2023.105064
10.48175/ijarsct-14367,10.1016/j.aei.2023.102030
10.48175/ijarsct-14367,10.46338/ijetae1022_03
10.48175/ijarsct-14367,10.3390/buildings12101503
10.48175/ijarsct-14367,10.3389/fbuil.2022.834671
10.1016/j.ejogrb.2022.12.008,10.1016/j.dib.2020.105690
10.1016/j.ejogrb.2022.12.008,10.1002/jrsm.1411
10.1016/j.ejogrb.2022.12.008,10.1186/s12911-019-1007-5
10.1016/j.ejogrb.2022.12.008,10.4103/ijabmr.IJABMR_370_18
10.1016/j.ejogrb.2022.12.008,10.1007/s13755-019-0079-z
10.1109/TBDATA.2019.2940237,10.1016/J.RSE.2017.05.025
10.1109/TBDATA.2019.2940237,10.1016/J.RSE.2017.02.021
10.1109/TBDATA.2019.2940237,10.1371/journal.pone.0184926
10.1109/TBDATA.2019.2940237,10.1016/J.ISPRSJPRS.2017.07.011
10.1109/TBDATA.2019.2940237,10.1155/2017/4135465
10.1108/lhtn-08-2024-0132,10.1016/j.engappai.2023.107667
10.1108/lhtn-08-2024-0132,10.1108/dlp-05-2023-0041
10.1108/lhtn-08-2024-0132,10.1111/jcal.12949
10.1108/lhtn-08-2024-0132,10.1080/00207543.2023.2262050
10.1108/lhtn-08-2024-0132,10.1108/lhtn-07-2023-0129
10.1109/SP.2019.00073,10.1145/3133956.3134004
10.1109/SP.2019.00073,10.1515/popets-2017-0046
10.1109/SP.2019.00073,10.1109/SP.2017.41
10.1016/j.dt.2024.06.004,10.1016/j.dt.2023.07.010
10.1016/j.dt.2024.06.004,10.1016/j.ijimpeng.2022.104465
10.1016/j.dt.2024.06.004,10.1016/j.ijimpeng.2022.104395
10.1016/j.dt.2024.06.004,10.1016/j.ijmecsci.2020.105871
10.1016/j.dt.2024.06.004,10.1007/s00193-020-00968-7
10.1109/CCWC57344.2023.10099366,10.1109/CCWC54503.2022.9720896
10.1109/CCWC57344.2023.10099366,10.1609/aaai.v35i17.17815
10.1109/CCWC57344.2023.10099366,10.33564/ijeast.2020.v05i03.013
10.1109/CCWC57344.2023.10099366,10.5815/IJISA.2019.07.03
10.1109/CCWC57344.2023.10099366,10.5220/0007307504580465
10.1002/tox.24230,10.3390/cancers15245759
10.1002/tox.24230,10.1111/his.15077
10.1002/tox.24230,10.1007/s13402-023-00883-w
10.1002/tox.24230,10.1007/s00432-023-05209-9
10.1002/tox.24230,10.1038/s41591-023-02482-6
10.1021/acs.jcim.9b00313,10.1002/9781119319085.ch2
10.1021/acs.jcim.9b00313,10.1021/acscentsci.8b00357
10.1021/acs.jcim.9b00313,10.1039/C7ME00107J
10.1021/acs.jcim.9b00313,10.1063/1.5020441
10.1021/acs.jcim.9b00313,10.1016/J.CHEMPR.2018.02.024
10.37028/LINGCURE.V5NS1.1348,10.37028/LINGCURE.V5N1.726
10.37028/LINGCURE.V5NS1.1348,10.37028/lingcure.v4n1.26
10.37028/LINGCURE.V5NS1.1348,10.5281/JRM.V3I2.42
10.37028/LINGCURE.V5NS1.1348,10.21744/IRJMIS.V4I5.528
10.37028/LINGCURE.V5NS1.1348,10.1016/J.SBSPRO.2015.09.039
10.1016/j.euroneuro.2020.03.016,10.1016/j.pnpbp.2018.09.014
10.1016/j.euroneuro.2020.03.016,10.1001/jamapsychiatry.2018.2165
10.1016/j.euroneuro.2020.03.016,10.1001/jama.2018.10574
10.1016/j.euroneuro.2020.03.016,10.1001/jama.2018.10061
10.1016/j.euroneuro.2020.03.016,10.1146/annurev-clinpsy-032816-045037
10.48550/arXiv.2405.15709,10.48550/arXiv.2311.01046
10.48550/arXiv.2405.15709,10.48550/arXiv.2305.10886
10.48550/arXiv.2405.15709,10.48550/arXiv.2302.02432
10.48550/arXiv.2405.15709,10.48550/arXiv.2210.07810
10.48550/arXiv.2405.15709,10.48550/arXiv.2210.06422
10.1055/a-1885-1697,10.1007/s40615-020-00842-3
10.1055/a-1885-1697,10.1097/CCM.0000000000004550
10.1055/a-1885-1697,10.1016/j.ajog.2019.12.267
10.1055/a-1885-1697,10.1007/s00330-020-07480-7
10.1055/a-1885-1697,10.1186/s12978-019-0832-4
10.7717/peerj.1425,10.1016/j.bmcl.2015.05.078
10.7717/peerj.1425,10.1038/srep11481
10.7717/peerj.1425,10.1016/j.ejmech.2014.06.050
10.7717/peerj.1425,10.1186/gb-2014-15-3-r47
10.7717/peerj.1425,10.1016/j.ejmech.2012.11.045
10.4018/ijsda.2013100103,10.1109/CICN.2012.202
10.4018/ijsda.2013100103,10.1007/978-3-642-15880-3_29
10.4018/ijsda.2013100103,10.1007/978-3-642-10646-0_21
10.4018/ijsda.2013100103,10.1016/j.eswa.2008.06.032
10.1049/rpg2.12985,10.1016/j.apenergy.2023.122380
10.1049/rpg2.12985,10.1016/j.jhydrol.2022.128265
10.1049/rpg2.12985,10.3390/en15124501
10.1049/rpg2.12985,10.1016/j.cjche.2022.04.004
10.1049/rpg2.12985,10.1016/j.ijepes.2020.105864
10.1109/BigData62323.2024.10825786,10.48550/arXiv.2206.00187
10.1109/BigData62323.2024.10825786,10.48550/arXiv.2205.13692
10.1109/BigData62323.2024.10825786,10.1609/aaai.v36i6.20555
10.1109/ACCESS.2022.3167058,10.1016/j.suscom.2021.100642
10.1109/ACCESS.2022.3167058,10.1016/j.suscom.2020.100425
10.1109/ACCESS.2022.3167058,10.1016/j.rser.2020.110618
10.1109/ACCESS.2022.3167058,10.1109/TSC.2017.2727050
10.1109/ACCESS.2022.3167058,10.1109/ICCCNT49239.2020.9225420
10.3389/fimmu.2024.1461424,10.7150/jca.96744
10.3389/fimmu.2024.1461424,10.1016/j.xcrm.2024.101505
10.3389/fimmu.2024.1461424,10.18632/aging.205658
10.3389/fimmu.2024.1461424,10.18632/aging.205639
10.3389/fimmu.2024.1461424,10.18632/aging.205436
10.3390/ijerph16142598,10.1111/ijpo.12512
10.3390/ijerph16142598,10.3390/children5100137
10.3390/ijerph16142598,10.1186/s12966-018-0649-5
10.3390/ijerph16142598,10.1249/MSS.0000000000001460
10.3390/ijerph16142598,10.1249/MSS.0000000000001158
10.3390/electronics12122715,10.1371/journal.pone.0279604
10.3390/electronics12122715,10.1016/j.neucom.2023.01.091
10.3390/electronics12122715,10.1186/s12874-022-01768-6
10.3390/electronics12122715,10.1155/2022/8238651
10.3390/electronics12122715,10.1145/3511808.3557356
10.29207/joseit.v2i2.5460,10.17993/3ctecno.2022.v11n2e42.59-69
10.29207/joseit.v2i2.5460,10.20894/ijcoa.101.011.002.002
10.29207/joseit.v2i2.5460,10.1016/j.patcog.2022.109229
10.29207/joseit.v2i2.5460,10.23919/INDIACom54597.2022.9763147
10.1007/978-3-030-03146-6_44,10.4114/ia.v18i56.1159
10.1007/978-3-030-03146-6_44,10.1504/IJISE.2016.074711
10.1007/978-3-030-03146-6_44,10.5120/20693-3582
10.1007/978-3-030-03146-6_44,10.1109/TSE.2010.90
10.1109/ISCIT63075.2024.10793695,10.3390/electronics12204283
10.1109/ISCIT63075.2024.10793695,10.1016/j.lindif.2023.102274
10.1109/ISCIT63075.2024.10793695,10.1145/3491101.3503727
10.1109/ISCIT63075.2024.10793695,10.5430/ijhe.v9n9p32
10.1002/aisy.202300402,10.1016/j.nanoen.2022.107970
10.1002/aisy.202300402,10.1038/s41467-022-35160-1
10.1002/aisy.202300402,10.1038/s41563-022-01390-3
10.1002/aisy.202300402,10.1038/s41467-022-34448-6
10.1002/aisy.202300402,10.1021/acsnano.2c08328
10.1109/RoEduNet51892.2020.9324855,10.1016/J.AEI.2020.101166
10.1109/RoEduNet51892.2020.9324855,10.3390/sym12030454
10.1109/RoEduNet51892.2020.9324855,10.1016/j.asoc.2019.105946
10.1109/RoEduNet51892.2020.9324855,10.1109/ASMC.2019.8791794
10.1109/RoEduNet51892.2020.9324855,10.1201/9780429504419-10
10.1126/science.add8258,10.1126/science.abq1158
10.1126/science.add8258,10.3233/978-1-61499-385-8-43
10.1007/s10909-020-02545-9,10.1002/QUA.26480
10.1007/s10909-020-02545-9,10.1515/ijmr-2020-7986
10.1007/s10909-020-02545-9,10.1016/J.CPLETT.2020.137993
10.1007/s10909-020-02545-9,10.1016/j.jssc.2020.121558
10.1007/s10909-020-02545-9,10.1007/s12540-020-00883-7
10.1109/TENCON.2005.300837,10.1007/3-540-45644-9_15
10.1109/TENCON.2005.300837,10.1145/506084.506090
10.1109/TENCON.2005.300837,10.1007/BFb0053984
10.1109/TENCON.2005.300837,10.1007/3-540-63574-2_16
10.1109/INDIN51773.2022.9976072,10.1016/J.MEASUREMENT.2021.109823
10.1109/INDIN51773.2022.9976072,10.1109/TIE.2020.2967725
10.1109/INDIN51773.2022.9976072,10.1016/j.measurement.2020.108700
10.1109/INDIN51773.2022.9976072,10.1109/TIM.2019.2956333
10.1109/INDIN51773.2022.9976072,10.1016/j.engfracmech.2020.107127
10.1109/SNAMS.2018.8554834,10.1017/9781108608480
10.1109/SNAMS.2018.8554834,10.1109/ICASSP.2017.7953194
10.1021/acs.jpca.1c09984,10.1051/0004-6361/202142448
10.1021/acs.jpca.1c09984,10.1021/ACSEARTHSPACECHEM.1C00182
10.1021/acs.jpca.1c09984,10.1051/0004-6361/202142226
10.1021/acs.jpca.1c09984,10.3847/1538-4357/ac091c
10.1021/acs.jpca.1c09984,10.1021/acs.jpca.1c06151
10.3390/ijfs11030094,10.1109/ICCCNT56998.2023.10307212
10.3390/ijfs11030094,10.1016/j.eswa.2022.119493
10.3390/ijfs11030094,10.3390/bdcc7010045
10.3390/ijfs11030094,10.1007/s11042-022-14216-w
10.3390/ijfs11030094,10.56726/irjmets31379
10.1109/M2VIP58386.2023.10413402,10.1109/TNSRE.2023.3242911
10.1109/M2VIP58386.2023.10413402,10.1109/TNNLS.2023.3238519
10.1109/M2VIP58386.2023.10413402,10.1109/RASSE54974.2022.9989657
10.1109/M2VIP58386.2023.10413402,10.1109/ICASSP49357.2023.10096192
10.1109/M2VIP58386.2023.10413402,10.1109/tfuzz.2022.3158727
10.3390/sym13030486,10.1016/j.patcog.2020.107230
10.3390/sym13030486,10.1109/cvpr42600.2020.00983
10.3390/sym13030486,10.1109/ICIP40778.2020.9191102
10.3390/sym13030486,10.5565/rev/elcvia.1187
10.3390/sym13030486,10.1609/AAAI.V34I07.6812
10.22247/ijcna/2025/02,10.1109/ICSCAN58655.2023.10395495
10.22247/ijcna/2025/02,10.1007/s11042-023-15244-w
10.22247/ijcna/2025/02,10.3390/math11030700
10.22247/ijcna/2025/02,10.1016/j.compeleceng.2022.108108
10.22247/ijcna/2025/02,10.1002/9781119761846.CH2
10.1177/21925682231162817,10.1016/j.spinee.2021.03.026
10.1177/21925682231162817,10.1016/j.spinee.2021.01.027
10.1177/21925682231162817,10.1038/s41598-020-77306-5
10.1177/21925682231162817,10.1002/oby.22937
10.1177/21925682231162817,10.1093/neuros/nyaa245
10.1097/00000539-199906000-00001,10.1016/S0003-4975(99)00850-4
10.1097/00000539-199906000-00001,10.1097/00000539-199906000-00004
10.1097/00000539-199906000-00001,10.1016/0003-4975(95)00753-8
10.1097/00000539-199906000-00001,10.1016/0735-1097(92)90248-L
10.1097/00000539-199906000-00001,10.1016/S0735-1097(87)80199-7
10.1371/journal.pone.0312395,10.1371/journal.pone.0303883
10.1371/journal.pone.0312395,10.4038/kjm.v13i1.7789
10.1371/journal.pone.0312395,10.2166/wcc.2024.520
10.1371/journal.pone.0312395,10.1016/j.asoc.2023.110722
10.1371/journal.pone.0312395,10.1920/re.ifs.2024.0513
10.1109/CEIT.2015.7232991,10.1109/ICAdLT.2014.6866316
10.1109/CEIT.2015.7232991,10.1109/TEVC.2012.2227326
10.1109/CEIT.2015.7232991,10.1080/00207543.2012.762131
10.1109/CEIT.2015.7232991,10.2507/IJSIMM11(3)2.201
10.1109/CEIT.2015.7232991,10.1016/j.engappai.2012.04.001
10.1109/ISADS56919.2023.10092137,10.37965/jait.2022.0127
10.1109/ISADS56919.2023.10092137,10.1201/9781003194620-5
10.1109/ISADS56919.2023.10092137,10.1016/S2589-7500(21)00038-8
10.1109/ISADS56919.2023.10092137,10.1007/s11063-021-10425-w
10.1109/ISADS56919.2023.10092137,10.3390/info11020108
10.1109/CICN56167.2022.10008343,10.1109/IPDPSW55747.2022.00069
10.1109/CICN56167.2022.10008343,10.3390/math10060993
10.1109/CICN56167.2022.10008343,10.3390/electronics10192386
10.1109/CICN56167.2022.10008343,10.1109/LANMAN52105.2021.9478836
10.1109/CICN56167.2022.10008343,10.1109/ICFPT51103.2020.00027
10.1109/JBHI.2024.3372649,10.1109/TCDS.2022.3160295
10.1109/JBHI.2024.3372649,10.1109/TCDS.2022.3149622
10.1109/JBHI.2024.3372649,10.1109/JBHI.2022.3220179
10.1109/JBHI.2024.3372649,10.1109/TCDS.2020.3034428
10.1109/JBHI.2024.3372649,10.3390/s22010215
10.1109/ICNC59896.2024.10556143,10.1109/ICCE53296.2022.9730354
10.1109/ICNC59896.2024.10556143,10.1109/ICC42927.2021.9500301
10.1109/ICNC59896.2024.10556143,10.1109/JIOT.2020.3024293
10.1109/ICNC59896.2024.10556143,10.1145/3359992.3366641
10.1109/ICNC59896.2024.10556143,10.1109/LCN44214.2019.8990797
10.1186/s12890-024-03160-0,10.1161/STROKEAHA.122.038867
10.1186/s12890-024-03160-0,10.3389/fnut.2022.784114
10.1186/s12890-024-03160-0,10.3389/fneur.2022.800614
10.1186/s12890-024-03160-0,10.3389/fmicb.2021.720051
10.1186/s12890-024-03160-0,10.1038/s41392-021-00819-6
10.1155/ASP.2005.3128,10.1080/00401706.1999.10485951
10.1155/ASP.2005.3128,10.1109/CIBCB.2004.1393932
10.1155/ASP.2005.3128,10.1109/APEDE.2004.1393604
10.1155/ASP.2005.3128,10.1109/TBME.2004.827827
10.1155/ASP.2005.3128,10.1016/j.jneumeth.2003.10.009
10.1016/J.PSEP.2019.01.013,10.1016/j.watres.2018.11.043
10.1016/J.PSEP.2019.01.013,10.1016/j.chemosphere.2018.07.086
10.1016/J.PSEP.2019.01.013,10.3390/W10101306
10.1016/J.PSEP.2019.01.013,10.3390/W10070847
10.1016/J.PSEP.2019.01.013,10.1016/j.chemosphere.2018.02.111
10.3390/nano12081269,10.3390/math10060852
10.3390/nano12081269,10.1016/J.SETA.2021.101379
10.3390/nano12081269,10.1016/J.NANOEN.2021.105952
10.3390/nano12081269,10.1038/s41598-020-80071-0
10.3390/nano12081269,10.1016/j.comnet.2020.107327
10.37943/19ppfn3256,10.1002/ente.202300914
10.37943/19ppfn3256,10.1109/ICDABI56818.2022.10041621
10.37943/19ppfn3256,10.15587/1729-4061.2022.259653
10.37943/19ppfn3256,10.1109/ROPEC50909.2020.9258673
10.37943/19ppfn3256,10.32890/JICT2019.18.1.8277
10.1109/ICSPCC46631.2019.8960779,10.1016/J.ENGAPPAI.2019.02.014
10.1109/ICSPCC46631.2019.8960779,10.1088/1757-899X/471/3/032014
10.1109/ICSPCC46631.2019.8960779,10.1016/J.PHYSLETA.2018.11.033
10.1109/ICSPCC46631.2019.8960779,10.1088/2058-6272/AAEE14
10.1109/ICSPCC46631.2019.8960779,10.1016/J.INS.2018.07.045
10.1109/DSIT61374.2024.10881634,10.1145/2959100.2959190
10.1109/DSIT61374.2024.10881634,10.1007/978-1-4842-2149-5_2
10.1109/DSIT61374.2024.10881634,10.1109/MC.2009.263
10.1109/DSIT61374.2024.10881634,10.1155/2009/421425
10.1177/2053951719849444,10.1515/9780822390169-009
10.1177/2053951719849444,10.1016/J.BIOCON.2019.01.020
10.1177/2053951719849444,10.1177/0094306119828696l
10.1177/2053951719849444,10.1111/SORU.12202
10.1177/2053951719849444,10.24275/uam/izt/dcsh/alteridades/2018v28n56/alvarado
10.48175/ijarsct-15350,10.1186/s44147-023-00353-y
10.48175/ijarsct-15350,10.1038/s41598-023-44763-7
10.48175/ijarsct-15350,10.1038/s41598-023-35910-1
10.48175/ijarsct-15350,10.1007/s11042-023-15052-2
10.48175/ijarsct-15350,10.1109/CISS56502.2023.10089669
10.1186/1471-2105-7-319,10.1007/s10618-005-0001-y
10.1186/1471-2105-7-319,10.1093/bioinformatics/bti534
10.1186/1471-2105-7-319,10.1093/BIOINFORMATICS/BTI541
10.1186/1471-2105-7-319,10.1093/BIOINFORMATICS/BTI537
10.1186/1471-2105-7-319,10.1007/978-3-540-38918-7_6791
10.2514/1.i010772,10.1109/TITS.2019.2906038
10.2514/1.i010772,10.2514/1.I010711
10.2514/1.i010772,10.2514/6.2019-3444
10.2514/1.i010772,10.2514/6.2018-3191
10.1109/TNSM.2022.3225217,10.1109/TNSM.2022.3164354
10.1109/TNSM.2022.3225217,10.1016/j.cose.2020.102092
10.1109/TNSM.2022.3225217,10.1007/978-3-030-50417-5_35
10.1109/TNSM.2022.3225217,10.1109/tdsc.2022.3218043
10.1109/ICME55011.2023.00041,10.1093/jamia/ocac168
10.1109/ICME55011.2023.00041,10.1109/TPAMI.2022.3182052
10.1109/ICME55011.2023.00041,10.3389/fnins.2020.00259
10.1109/ICME55011.2023.00041,10.1109/TPAMI.2018.2889096
10.1109/ICME55011.2023.00041,10.1016/j.compmedimag.2019.101663
10.33395/sinkron.v8i3.12721,10.1016/j.compag.2023.107622
10.33395/sinkron.v8i3.12721,10.3390/app12188972
10.33395/sinkron.v8i3.12721,10.54660/anfo.2022.3.4.18
10.33395/sinkron.v8i3.12721,10.33322/kilat.v10i2.1458
10.33395/sinkron.v8i3.12721,10.21107/simantec.v7i2.6551
10.1038/s41467-019-10827-4,10.1002/9781119602927.ch2
10.1038/s41467-019-10827-4,10.1021/acs.jctc.8b00524
10.1038/s41467-019-10827-4,10.1021/acs.jpclett.8b01939
10.1038/s41467-019-10827-4,10.1126/science.aar5169
10.1038/s41467-019-10827-4,10.1021/acs.jctc.7b00933
10.1109/ICRAIE59459.2023.10468126,10.1109/AiDAS60501.2023.10284628
10.1109/ICRAIE59459.2023.10468126,10.18653/v1/2020.nlpcovid19-2.11
10.1109/ICRAIE59459.2023.10468126,10.1016/j.osnem.2020.100104
10.3390/jpm13020367,10.3389/fimmu.2022.1072526
10.3390/jpm13020367,10.3390/cells11213430
10.3390/jpm13020367,10.1155/2022/5600190
10.3390/jpm13020367,10.1186/s12967-021-03183-9
10.3390/jpm13020367,10.1186/s41065-021-00201-0
10.1007/s13201-022-01830-0,10.1080/19942060.2022.2126528
10.1007/s13201-022-01830-0,10.1016/J.AEJ.2021.04.100
10.1007/s13201-022-01830-0,10.1016/j.asej.2019.10.011
10.1007/s13201-022-01830-0,10.1016/j.jhydrol.2019.124435
10.1007/s13201-022-01830-0,10.1016/j.jhydrol.2019.124084
