Paper_DOI,Reviewer_ID,Decision,Comment
201410.1007/s10994-015-5496-x,71753515.0,0,Minor and unclear contribution.
201410.1007/s10994-015-5496-x,40501144.0,0,Bad writing quality
201310.1007/s10994-015-5496-x,1564615923.0,1,Findings are novel.
201310.1007/s10994-015-5496-x,145331458.0,0,Bad writing quality
201310.1007/s10994-015-5496-x,2240443768.0,1,Well-written and clear paper.
202010.1109/BIBM52615.2021.9669784,2107270112.0,0,Bad writing quality
202010.1109/BIBM52615.2021.9669784,2118453908.0,1,Good Experimental scheme.
202010.1109/BIBM52615.2021.9669784,1793463.0,0,Minor and unclear contribution.
201910.1109/BIBM52615.2021.9669784,1974287.0,1,Good Experimental scheme.
201910.1109/BIBM52615.2021.9669784,2214180256.0,0,Bad writing quality
201910.1109/BIBM52615.2021.9669784,2351014.0,0,TNo novelty.
201810.1109/BIBM52615.2021.9669784,35208858.0,1,Good Experimental scheme.
201810.1109/BIBM52615.2021.9669784,5278068.0,0,Minor and unclear contribution.
201810.1109/BIBM52615.2021.9669784,2073223398.0,0,The methodology has flaws.
201710.1109/BIBM52615.2021.9669784,73240341.0,0,Minor and unclear contribution.
201710.1109/BIBM52615.2021.9669784,152119208.0,0,Minor and unclear contribution.
201710.1109/BIBM52615.2021.9669784,2162869982.0,1,Findings are novel.
202310.1002/anbr.202300085,3570701.0,1,Findings are novel.
202310.1002/anbr.202300085,1737420.0,0,Minor and unclear contribution.
202310.1002/anbr.202300085,2165409280.0,1,This paper makes a significant contribution.
202210.1002/anbr.202300085,2071451789.0,1,This paper makes a significant contribution.
202210.1002/anbr.202300085,37437899.0,0,The methodology has flaws.
202210.1002/anbr.202300085,2003934493.0,0,TNo novelty.
202310.56083/rcv4n12-124,153389055.0,1,Well-written and clear paper.
202310.56083/rcv4n12-124,150250293.0,0,Bad writing quality
202310.56083/rcv4n12-124,1736467.0,0,Minor and unclear contribution.
202210.56083/rcv4n12-124,1379521833.0,0,Minor and unclear contribution.
202210.56083/rcv4n12-124,4088190.0,0,TNo novelty.
202210.56083/rcv4n12-124,5364782.0,0,Bad writing quality
202010.3991/ijet.v16i16.23405,2269321127.0,0,Bad writing quality
202010.3991/ijet.v16i16.23405,1807084.0,1,This paper makes a significant contribution.
202010.3991/ijet.v16i16.23405,95901521.0,1,This paper makes a significant contribution.
201910.3991/ijet.v16i16.23405,2061423554.0,1,This paper makes a significant contribution.
201910.3991/ijet.v16i16.23405,2204785048.0,0,TNo novelty.
201910.3991/ijet.v16i16.23405,34840145.0,1,This paper makes a significant contribution.
202410.3389/fonc.2025.1531465,98791398.0,1,Findings are novel.
202410.3389/fonc.2025.1531465,5410825.0,1,Good Experimental scheme.
202410.3389/fonc.2025.1531465,47614700.0,1,This paper makes a significant contribution.
202310.3389/fonc.2025.1531465,2243360319.0,1,This paper makes a significant contribution.
202310.3389/fonc.2025.1531465,27367111.0,0,Bad writing quality
202310.3389/fonc.2025.1531465,39794627.0,0,The methodology has flaws.
202110.1093/ecco-jcc/jjab232.654,1786324.0,0,Minor and unclear contribution.
202110.1093/ecco-jcc/jjab232.654,1397828766.0,0,Minor and unclear contribution.
202110.1093/ecco-jcc/jjab232.654,50860365.0,1,Good Experimental scheme.
202010.1093/ecco-jcc/jjab232.654,30691907.0,1,Well-written and clear paper.
202010.1093/ecco-jcc/jjab232.654,2752858.0,0,TNo novelty.
202010.1093/ecco-jcc/jjab232.654,1996944.0,0,Minor and unclear contribution.
202310.4103/jmss.jmss_47_23,143898225.0,1,Good Experimental scheme.
202310.4103/jmss.jmss_47_23,49938104.0,1,Findings are novel.
202310.4103/jmss.jmss_47_23,35371929.0,0,Minor and unclear contribution.
202210.4103/jmss.jmss_47_23,153747914.0,1,Good Experimental scheme.
202210.4103/jmss.jmss_47_23,1718786.0,0,The methodology has flaws.
202210.4103/jmss.jmss_47_23,2168156722.0,0,Bad writing quality
202310.3389/fpubh.2024.1329704,41078122.0,0,Bad writing quality
202310.3389/fpubh.2024.1329704,2193497884.0,0,The methodology has flaws.
202310.3389/fpubh.2024.1329704,2255356409.0,1,Findings are novel.
202210.3389/fpubh.2024.1329704,143928258.0,1,This paper makes a significant contribution.
202210.3389/fpubh.2024.1329704,2143544312.0,0,Minor and unclear contribution.
202210.3389/fpubh.2024.1329704,1561754255.0,0,TNo novelty.
202010.1109/JIOT.2021.3063855,153426813.0,1,Good Experimental scheme.
202010.1109/JIOT.2021.3063855,145927469.0,0,TNo novelty.
202010.1109/JIOT.2021.3063855,1709589.0,0,The methodology has flaws.
201910.1109/JIOT.2021.3063855,1410519911.0,0,Bad writing quality
201910.1109/JIOT.2021.3063855,2136983430.0,0,Minor and unclear contribution.
201910.1109/JIOT.2021.3063855,2108476925.0,1,Well-written and clear paper.
202110.1109/ICCE53296.2022.9730555,1486433466.0,0,Bad writing quality
202110.1109/ICCE53296.2022.9730555,48569608.0,0,The methodology has flaws.
202110.1109/ICCE53296.2022.9730555,1396571162.0,0,Minor and unclear contribution.
202010.1109/ICCE53296.2022.9730555,2234949.0,1,This paper makes a significant contribution.
202010.1109/ICCE53296.2022.9730555,40303848.0,1,This paper makes a significant contribution.
202010.1109/ICCE53296.2022.9730555,1816938.0,0,Bad writing quality
201910.1109/ICCE53296.2022.9730555,79606171.0,1,Well-written and clear paper.
201910.1109/ICCE53296.2022.9730555,145766531.0,1,Findings are novel.
201910.1109/ICCE53296.2022.9730555,3388049.0,1,Good Experimental scheme.
201810.1109/ICCE53296.2022.9730555,2087593159.0,0,Bad writing quality
201810.1109/ICCE53296.2022.9730555,3302182.0,1,This paper makes a significant contribution.
201810.1109/ICCE53296.2022.9730555,2149162384.0,0,Minor and unclear contribution.
202310.3390/ijerph21050521,2665814.0,0,The methodology has flaws.
202310.3390/ijerph21050521,21501044.0,1,Well-written and clear paper.
202310.3390/ijerph21050521,81369267.0,0,TNo novelty.
202210.3390/ijerph21050521,2110849120.0,1,Well-written and clear paper.
202210.3390/ijerph21050521,152311047.0,0,The methodology has flaws.
202210.3390/ijerph21050521,144615611.0,0,Minor and unclear contribution.
202110.2174/2210676612666220408095913,2191868382.0,1,Findings are novel.
202110.2174/2210676612666220408095913,2285981985.0,0,The methodology has flaws.
202110.2174/2210676612666220408095913,40270831.0,0,The methodology has flaws.
202010.2174/2210676612666220408095913,152324076.0,1,Good Experimental scheme.
202010.2174/2210676612666220408095913,2223512368.0,1,Good Experimental scheme.
202010.2174/2210676612666220408095913,102633203.0,0,The methodology has flaws.
202310.1101/2024.09.19.613896,1796243073.0,0,Bad writing quality
202310.1101/2024.09.19.613896,34965960.0,0,The methodology has flaws.
202310.1101/2024.09.19.613896,67075198.0,1,Findings are novel.
202210.1101/2024.09.19.613896,144345076.0,1,Findings are novel.
202210.1101/2024.09.19.613896,71521801.0,0,The methodology has flaws.
202210.1101/2024.09.19.613896,2427777.0,1,Well-written and clear paper.
201610.1016/j.bdr.2017.07.002,28974020.0,0,Minor and unclear contribution.
201610.1016/j.bdr.2017.07.002,143912625.0,1,Good Experimental scheme.
201610.1016/j.bdr.2017.07.002,1633552582.0,1,Findings are novel.
201510.1016/j.bdr.2017.07.002,2116458545.0,1,Well-written and clear paper.
201510.1016/j.bdr.2017.07.002,2230254784.0,1,This paper makes a significant contribution.
201510.1016/j.bdr.2017.07.002,1955809.0,1,Good Experimental scheme.
201810.1109/ISNCC.2019.8909134,2928835.0,1,Findings are novel.
201810.1109/ISNCC.2019.8909134,20504781.0,0,Bad writing quality
201810.1109/ISNCC.2019.8909134,2268608103.0,0,Minor and unclear contribution.
201710.1109/ISNCC.2019.8909134,48197323.0,0,Minor and unclear contribution.
201710.1109/ISNCC.2019.8909134,2313999567.0,1,Well-written and clear paper.
201710.1109/ISNCC.2019.8909134,2275476390.0,1,Findings are novel.
201610.1109/ISNCC.2019.8909134,2145112273.0,1,Good Experimental scheme.
201610.1109/ISNCC.2019.8909134,2116615849.0,0,Bad writing quality
201610.1109/ISNCC.2019.8909134,48917581.0,0,Minor and unclear contribution.
201510.1109/ISNCC.2019.8909134,14281028.0,0,Bad writing quality
201510.1109/ISNCC.2019.8909134,49412533.0,0,The methodology has flaws.
201510.1109/ISNCC.2019.8909134,144437283.0,0,TNo novelty.
202210.30574/ijsra.2023.10.1.0720,7669200.0,0,TNo novelty.
202210.30574/ijsra.2023.10.1.0720,82418605.0,1,Good Experimental scheme.
202210.30574/ijsra.2023.10.1.0720,2031487333.0,0,TNo novelty.
202110.30574/ijsra.2023.10.1.0720,104832328.0,1,This paper makes a significant contribution.
202110.30574/ijsra.2023.10.1.0720,1746991.0,1,Well-written and clear paper.
202110.30574/ijsra.2023.10.1.0720,1743564.0,0,The methodology has flaws.
202410.1016/j.anucene.2024.110952,2198142436.0,0,Bad writing quality
202410.1016/j.anucene.2024.110952,2055350.0,0,Minor and unclear contribution.
202410.1016/j.anucene.2024.110952,18178310.0,0,Bad writing quality
202310.1016/j.anucene.2024.110952,3319153.0,1,This paper makes a significant contribution.
202310.1016/j.anucene.2024.110952,52155758.0,1,Good Experimental scheme.
202310.1016/j.anucene.2024.110952,2226863768.0,1,Good Experimental scheme.
202110.3390/w14081300,151480882.0,1,Well-written and clear paper.
202110.3390/w14081300,145394689.0,1,This paper makes a significant contribution.
202110.3390/w14081300,11215869.0,1,This paper makes a significant contribution.
202010.3390/w14081300,50576851.0,1,This paper makes a significant contribution.
202010.3390/w14081300,2140349456.0,1,Good Experimental scheme.
202010.3390/w14081300,143640543.0,1,Findings are novel.
202010.3390/s21175948,1896974.0,1,This paper makes a significant contribution.
202010.3390/s21175948,2138211447.0,1,This paper makes a significant contribution.
202010.3390/s21175948,144732171.0,0,Minor and unclear contribution.
201910.3390/s21175948,48737911.0,1,Well-written and clear paper.
201910.3390/s21175948,5101046.0,0,Minor and unclear contribution.
201910.3390/s21175948,107595943.0,1,Findings are novel.
201810.3390/s21175948,143665552.0,0,TNo novelty.
201810.3390/s21175948,2113849642.0,0,TNo novelty.
201810.3390/s21175948,101327648.0,1,This paper makes a significant contribution.
201710.3390/s21175948,34655537.0,0,Minor and unclear contribution.
201710.3390/s21175948,102745993.0,0,Minor and unclear contribution.
201710.3390/s21175948,152474829.0,1,Findings are novel.
202110.1016/j.aiig.2022.10.003,35959301.0,0,TNo novelty.
202110.1016/j.aiig.2022.10.003,11143433.0,1,This paper makes a significant contribution.
202110.1016/j.aiig.2022.10.003,3204076.0,1,Findings are novel.
202010.1016/j.aiig.2022.10.003,48348688.0,0,Minor and unclear contribution.
202010.1016/j.aiig.2022.10.003,144485801.0,1,This paper makes a significant contribution.
202010.1016/j.aiig.2022.10.003,2034199493.0,1,Findings are novel.
202210.3390/s23031639,120162868.0,0,TNo novelty.
202210.3390/s23031639,2351817235.0,0,Minor and unclear contribution.
202210.3390/s23031639,2171346345.0,1,This paper makes a significant contribution.
202110.3390/s23031639,2291413748.0,1,Well-written and clear paper.
202110.3390/s23031639,2044361531.0,1,Well-written and clear paper.
202110.3390/s23031639,1380918578.0,1,Well-written and clear paper.
202010.3390/s23031639,5086774.0,1,Findings are novel.
202010.3390/s23031639,95874777.0,0,The methodology has flaws.
202010.3390/s23031639,2008179635.0,1,This paper makes a significant contribution.
201910.3390/s23031639,1388357111.0,0,TNo novelty.
201910.3390/s23031639,34750524.0,1,Well-written and clear paper.
201910.3390/s23031639,1399211718.0,1,Good Experimental scheme.
202310.1016/j.annonc.2024.10.576,2250465.0,1,Well-written and clear paper.
202310.1016/j.annonc.2024.10.576,2158396126.0,0,TNo novelty.
202310.1016/j.annonc.2024.10.576,145937021.0,1,Findings are novel.
202210.1016/j.annonc.2024.10.576,49768896.0,1,This paper makes a significant contribution.
202210.1016/j.annonc.2024.10.576,2805349.0,0,Bad writing quality
202210.1016/j.annonc.2024.10.576,1484373616.0,1,Findings are novel.
202210.1155/2023/9853636,145349651.0,1,Well-written and clear paper.
202210.1155/2023/9853636,145624163.0,0,Bad writing quality
202210.1155/2023/9853636,1394935364.0,0,Bad writing quality
202110.1155/2023/9853636,1401029062.0,1,Findings are novel.
202110.1155/2023/9853636,2464800.0,0,Bad writing quality
202110.1155/2023/9853636,122679539.0,0,TNo novelty.
202210.1186/s12904-022-01113-0,1778681.0,0,Minor and unclear contribution.
202210.1186/s12904-022-01113-0,144070849.0,1,This paper makes a significant contribution.
202210.1186/s12904-022-01113-0,2111777503.0,0,TNo novelty.
202110.1186/s12904-022-01113-0,51056403.0,1,Findings are novel.
202110.1186/s12904-022-01113-0,1484374278.0,0,The methodology has flaws.
202110.1186/s12904-022-01113-0,66195683.0,0,Minor and unclear contribution.
202210.1007/s11416-023-00469-y,143788670.0,1,Well-written and clear paper.
202210.1007/s11416-023-00469-y,144787557.0,1,This paper makes a significant contribution.
202210.1007/s11416-023-00469-y,2239132233.0,0,Bad writing quality
202110.1007/s11416-023-00469-y,18118213.0,0,Bad writing quality
202110.1007/s11416-023-00469-y,39739145.0,0,Bad writing quality
202110.1007/s11416-023-00469-y,2081604490.0,0,The methodology has flaws.
201010.1109/CISIS.2011.22,2155558219.0,0,Bad writing quality
201010.1109/CISIS.2011.22,1389979983.0,1,Well-written and clear paper.
201010.1109/CISIS.2011.22,46845067.0,0,TNo novelty.
200910.1109/CISIS.2011.22,24525022.0,1,Well-written and clear paper.
200910.1109/CISIS.2011.22,2152905238.0,1,Well-written and clear paper.
200910.1109/CISIS.2011.22,4227556.0,1,This paper makes a significant contribution.
200810.1109/CISIS.2011.22,34928927.0,0,Bad writing quality
200810.1109/CISIS.2011.22,2213873418.0,0,Minor and unclear contribution.
200810.1109/CISIS.2011.22,1680935.0,0,The methodology has flaws.
200710.1109/CISIS.2011.22,4173032.0,0,TNo novelty.
200710.1109/CISIS.2011.22,48569608.0,1,Well-written and clear paper.
200710.1109/CISIS.2011.22,98711965.0,0,The methodology has flaws.
202310.1016/j.heliyon.2024.e30251,1723815.0,0,The methodology has flaws.
202310.1016/j.heliyon.2024.e30251,1854276.0,1,Good Experimental scheme.
202310.1016/j.heliyon.2024.e30251,2052751308.0,1,Findings are novel.
202210.1016/j.heliyon.2024.e30251,9387621.0,0,Minor and unclear contribution.
202210.1016/j.heliyon.2024.e30251,2080792630.0,0,The methodology has flaws.
202210.1016/j.heliyon.2024.e30251,48000275.0,0,TNo novelty.
202110.3389/fcell.2022.937761,2264583620.0,0,Bad writing quality
202110.3389/fcell.2022.937761,50692861.0,0,Bad writing quality
202110.3389/fcell.2022.937761,3820435.0,1,Good Experimental scheme.
202010.3389/fcell.2022.937761,8173328.0,1,Good Experimental scheme.
202010.3389/fcell.2022.937761,10356563.0,0,TNo novelty.
202010.3389/fcell.2022.937761,33098909.0,1,Findings are novel.
201910.1109/tnse.2020.2968206,14420145.0,0,TNo novelty.
201910.1109/tnse.2020.2968206,2068648630.0,0,Bad writing quality
201910.1109/tnse.2020.2968206,113631292.0,0,TNo novelty.
201810.1109/tnse.2020.2968206,2169997177.0,1,Well-written and clear paper.
201810.1109/tnse.2020.2968206,3146362.0,0,TNo novelty.
201810.1109/tnse.2020.2968206,40283710.0,0,Bad writing quality
202210.48175/ijarsct-14367,2168096841.0,1,Findings are novel.
202210.48175/ijarsct-14367,2270714695.0,0,Bad writing quality
202210.48175/ijarsct-14367,2031502385.0,1,Findings are novel.
202110.48175/ijarsct-14367,1801645.0,1,Well-written and clear paper.
202110.48175/ijarsct-14367,2341417471.0,0,Bad writing quality
202110.48175/ijarsct-14367,144016734.0,1,Findings are novel.
202410.1115/1.4067600,2341210613.0,1,Findings are novel.
202410.1115/1.4067600,1402946289.0,1,Good Experimental scheme.
202410.1115/1.4067600,4961985.0,0,Bad writing quality
202310.1115/1.4067600,2249617786.0,1,Good Experimental scheme.
202310.1115/1.4067600,2242774725.0,0,Minor and unclear contribution.
202310.1115/1.4067600,2353432935.0,1,Findings are novel.
202310.3390/agriculture14111900,103521938.0,0,Minor and unclear contribution.
202310.3390/agriculture14111900,2171105220.0,1,Findings are novel.
202310.3390/agriculture14111900,2681603.0,1,Findings are novel.
202210.3390/agriculture14111900,93385443.0,1,Findings are novel.
202210.3390/agriculture14111900,2253724718.0,0,Bad writing quality
202210.3390/agriculture14111900,2327864577.0,1,Good Experimental scheme.
202110.1016/j.ejogrb.2022.12.008,1678388319.0,0,TNo novelty.
202110.1016/j.ejogrb.2022.12.008,46674346.0,1,This paper makes a significant contribution.
202110.1016/j.ejogrb.2022.12.008,2179717483.0,1,This paper makes a significant contribution.
202010.1016/j.ejogrb.2022.12.008,1400181904.0,1,Good Experimental scheme.
202010.1016/j.ejogrb.2022.12.008,1883435.0,0,Bad writing quality
202010.1016/j.ejogrb.2022.12.008,2950925.0,0,The methodology has flaws.
201910.1109/TBDATA.2019.2940237,2146629508.0,0,Bad writing quality
201910.1109/TBDATA.2019.2940237,2381463.0,0,Bad writing quality
201910.1109/TBDATA.2019.2940237,102366131.0,0,The methodology has flaws.
201810.1109/TBDATA.2019.2940237,1790356.0,1,This paper makes a significant contribution.
201810.1109/TBDATA.2019.2940237,2111609309.0,0,Bad writing quality
201810.1109/TBDATA.2019.2940237,1753888.0,1,Well-written and clear paper.
202310.1108/lhtn-08-2024-0132,102736389.0,0,Minor and unclear contribution.
202310.1108/lhtn-08-2024-0132,47350595.0,0,Bad writing quality
202310.1108/lhtn-08-2024-0132,2490125.0,0,Minor and unclear contribution.
202210.1108/lhtn-08-2024-0132,81038443.0,0,Bad writing quality
202210.1108/lhtn-08-2024-0132,32092553.0,1,This paper makes a significant contribution.
202210.1108/lhtn-08-2024-0132,152565204.0,0,Minor and unclear contribution.
201810.1109/SP.2019.00073,1641383061.0,1,Findings are novel.
201810.1109/SP.2019.00073,89531870.0,1,Findings are novel.
201810.1109/SP.2019.00073,51249163.0,1,This paper makes a significant contribution.
201710.1109/SP.2019.00073,2003379.0,0,TNo novelty.
201710.1109/SP.2019.00073,3148632.0,1,Good Experimental scheme.
201710.1109/SP.2019.00073,146781215.0,1,Good Experimental scheme.
201610.1109/SP.2019.00073,36044147.0,1,Well-written and clear paper.
201610.1109/SP.2019.00073,2272261103.0,0,The methodology has flaws.
201610.1109/SP.2019.00073,66518278.0,1,This paper makes a significant contribution.
201510.1109/SP.2019.00073,3183891.0,1,Good Experimental scheme.
201510.1109/SP.2019.00073,2176160958.0,0,TNo novelty.
201510.1109/SP.2019.00073,150302816.0,1,Well-written and clear paper.
202310.1016/j.dt.2024.06.004,144637915.0,1,Well-written and clear paper.
202310.1016/j.dt.2024.06.004,47430059.0,1,This paper makes a significant contribution.
202310.1016/j.dt.2024.06.004,2712038.0,0,Bad writing quality
202210.1016/j.dt.2024.06.004,4437989.0,1,Findings are novel.
202210.1016/j.dt.2024.06.004,2307394830.0,0,TNo novelty.
202210.1016/j.dt.2024.06.004,2238118843.0,1,Well-written and clear paper.
202210.1109/CCWC57344.2023.10099366,1600756307.0,1,This paper makes a significant contribution.
202210.1109/CCWC57344.2023.10099366,2281353915.0,0,The methodology has flaws.
202210.1109/CCWC57344.2023.10099366,144000756.0,0,Minor and unclear contribution.
202110.1109/CCWC57344.2023.10099366,144567780.0,1,Good Experimental scheme.
202110.1109/CCWC57344.2023.10099366,1381497661.0,1,Well-written and clear paper.
202110.1109/CCWC57344.2023.10099366,2053144.0,1,This paper makes a significant contribution.
202010.1109/CCWC57344.2023.10099366,47388902.0,1,Well-written and clear paper.
202010.1109/CCWC57344.2023.10099366,3302320.0,1,Good Experimental scheme.
202010.1109/CCWC57344.2023.10099366,91092336.0,0,Minor and unclear contribution.
201910.1109/CCWC57344.2023.10099366,144250040.0,0,Minor and unclear contribution.
201910.1109/CCWC57344.2023.10099366,31990976.0,1,Findings are novel.
201910.1109/CCWC57344.2023.10099366,7984802.0,0,Bad writing quality
202310.1002/tox.24230,2238323908.0,1,This paper makes a significant contribution.
202310.1002/tox.24230,1441192795.0,0,TNo novelty.
202310.1002/tox.24230,34760069.0,0,Minor and unclear contribution.
202210.1002/tox.24230,67307672.0,1,This paper makes a significant contribution.
202210.1002/tox.24230,2084207305.0,1,This paper makes a significant contribution.
202210.1002/tox.24230,1399281717.0,0,The methodology has flaws.
189610.1007/s13218-011-0164-1,2151071148.0,1,This paper makes a significant contribution.
189610.1007/s13218-011-0164-1,2057702866.0,1,Good Experimental scheme.
189610.1007/s13218-011-0164-1,1402490815.0,1,Well-written and clear paper.
189510.1007/s13218-011-0164-1,2706423.0,1,Findings are novel.
189510.1007/s13218-011-0164-1,30117692.0,1,Good Experimental scheme.
189510.1007/s13218-011-0164-1,6826614.0,1,Well-written and clear paper.
202310.32523/2616-7263-2024-149-4-256-268,1404032229.0,1,This paper makes a significant contribution.
202310.32523/2616-7263-2024-149-4-256-268,2065380893.0,1,Well-written and clear paper.
202310.32523/2616-7263-2024-149-4-256-268,10158167.0,1,Findings are novel.
202210.32523/2616-7263-2024-149-4-256-268,2108567869.0,0,Bad writing quality
202210.32523/2616-7263-2024-149-4-256-268,2065073027.0,0,TNo novelty.
202210.32523/2616-7263-2024-149-4-256-268,1404875068.0,0,The methodology has flaws.
201810.1021/acs.jcim.9b00313,2142951.0,1,Well-written and clear paper.
201810.1021/acs.jcim.9b00313,2151087691.0,1,Findings are novel.
201810.1021/acs.jcim.9b00313,91092336.0,0,Bad writing quality
201710.1021/acs.jcim.9b00313,144099843.0,1,Good Experimental scheme.
201710.1021/acs.jcim.9b00313,26999030.0,1,This paper makes a significant contribution.
201710.1021/acs.jcim.9b00313,2073146511.0,1,Good Experimental scheme.
202010.37028/LINGCURE.V5NS1.1348,1380248814.0,1,Findings are novel.
202010.37028/LINGCURE.V5NS1.1348,2256510374.0,1,Well-written and clear paper.
202010.37028/LINGCURE.V5NS1.1348,1685042.0,1,This paper makes a significant contribution.
201910.37028/LINGCURE.V5NS1.1348,1748839325.0,0,The methodology has flaws.
201910.37028/LINGCURE.V5NS1.1348,107774505.0,0,Minor and unclear contribution.
201910.37028/LINGCURE.V5NS1.1348,153297714.0,0,Bad writing quality
201910.1016/j.euroneuro.2020.03.016,32062047.0,0,The methodology has flaws.
201910.1016/j.euroneuro.2020.03.016,4466057.0,0,Minor and unclear contribution.
201910.1016/j.euroneuro.2020.03.016,2802402.0,1,Good Experimental scheme.
201810.1016/j.euroneuro.2020.03.016,1380588687.0,0,The methodology has flaws.
201810.1016/j.euroneuro.2020.03.016,1710872.0,0,Minor and unclear contribution.
201810.1016/j.euroneuro.2020.03.016,48416660.0,1,This paper makes a significant contribution.
202310.48550/arXiv.2405.15709,145415933.0,1,Findings are novel.
202310.48550/arXiv.2405.15709,3807105.0,0,The methodology has flaws.
