Paper_ID,DOI,Title,Abstract,Venue,publicationType,venue_id,journal_name,pages,volume,Edition_id,Year,publicationDate,Authors,Author_Ids,URL,s2FieldsOfStudys,Corresponding_Author_ID,publication_type_2,Citations,References
20200000f2eb98405f7d4044761c1707a199ac6189bc,202010.48550/arXiv.2308.11721,2020 When Are Two Lists Better than One?: Benefits and Harms in Joint Decision-making,,AAAI Conference on Artificial Intelligence,conference,bdc2e585-4e48-4e36-8af1-6d859763d405,ArXiv,Unknown,abs/2308.11721,2020bdc2e585-4e48-4e36-8af1-6d859763d405,2020,2023-08-22,"Kate Donahue, Kostas Kollias, Sreenivas Gollapudi","122495956, 24194181, 144979147",https://www.semanticscholar.org/paper/0000f2eb98405f7d4044761c1707a199ac6189bc,Computer Science,122495956,,,
20190000f2eb98405f7d4044761c1707a199ac6189bc,201910.48550/arXiv.2308.11721,2019 When Are Two Lists Better than One?: Benefits and Harms in Joint Decision-making,,AAAI Conference on Artificial Intelligence,conference,bdc2e585-4e48-4e36-8af1-6d859763d405,ArXiv,Unknown,abs/2308.11721,2019bdc2e585-4e48-4e36-8af1-6d859763d405,2019,2023-08-22,"Kate Donahue, Kostas Kollias, Sreenivas Gollapudi","122495956, 24194181, 144979147",https://www.semanticscholar.org/paper/0000f2eb98405f7d4044761c1707a199ac6189bc,Computer Science,122495956,,,
20200001732a8f4f8443731a16387dda81c61a7bf108,202010.1109/BIBM52615.2021.9669784,2020 Convolutional Neural Network Techniques on X-ray Images for Covid-19 Classification,,IEEE International Conference on Bioinformatics and Biomedicine,conference,6363ebc9-706a-4203-b804-148cbf8810ce,2021 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),3113-3115,Unknown,20206363ebc9-706a-4203-b804-148cbf8810ce,2020,2021-12-09,"Eugenio Vocaturo, E. Zumpano, Luciano Caroprese","2894523, 1757723, 3013763",https://www.semanticscholar.org/paper/0001732a8f4f8443731a16387dda81c61a7bf108,"Computer Science, Medicine",2894523,,,
20190001732a8f4f8443731a16387dda81c61a7bf108,201910.1109/BIBM52615.2021.9669784,2019 Convolutional Neural Network Techniques on X-ray Images for Covid-19 Classification,,IEEE International Conference on Bioinformatics and Biomedicine,conference,6363ebc9-706a-4203-b804-148cbf8810ce,2021 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),3113-3115,Unknown,20196363ebc9-706a-4203-b804-148cbf8810ce,2019,2021-12-09,"Eugenio Vocaturo, E. Zumpano, Luciano Caroprese","2894523, 1757723, 3013763",https://www.semanticscholar.org/paper/0001732a8f4f8443731a16387dda81c61a7bf108,"Computer Science, Medicine",2894523,,,
20180001732a8f4f8443731a16387dda81c61a7bf108,201810.1109/BIBM52615.2021.9669784,2018 Convolutional Neural Network Techniques on X-ray Images for Covid-19 Classification,,IEEE International Conference on Bioinformatics and Biomedicine,conference,6363ebc9-706a-4203-b804-148cbf8810ce,2021 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),3113-3115,Unknown,20186363ebc9-706a-4203-b804-148cbf8810ce,2018,2021-12-09,"Eugenio Vocaturo, E. Zumpano, Luciano Caroprese","2894523, 1757723, 3013763",https://www.semanticscholar.org/paper/0001732a8f4f8443731a16387dda81c61a7bf108,"Computer Science, Medicine",2894523,,,
20170001732a8f4f8443731a16387dda81c61a7bf108,201710.1109/BIBM52615.2021.9669784,2017 Convolutional Neural Network Techniques on X-ray Images for Covid-19 Classification,,IEEE International Conference on Bioinformatics and Biomedicine,conference,6363ebc9-706a-4203-b804-148cbf8810ce,2021 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),3113-3115,Unknown,20176363ebc9-706a-4203-b804-148cbf8810ce,2017,2021-12-09,"Eugenio Vocaturo, E. Zumpano, Luciano Caroprese","2894523, 1757723, 3013763",https://www.semanticscholar.org/paper/0001732a8f4f8443731a16387dda81c61a7bf108,"Computer Science, Medicine",2894523,,,
20210002b568154d66ae99ead0427c3f9795a46e9029,202110.1109/ICCE53296.2022.9730555,2021 Physical Security Using Machine Learning to Detect Lock Picking at Traffic Cabinets,,IEEE International Conference on Consumer Electronics,conference,9012153e-aed6-447e-bccf-4aaf6f4bf52f,2022 IEEE International Conference on Consumer Electronics (ICCE),1-6,Unknown,20219012153e-aed6-447e-bccf-4aaf6f4bf52f,2021,2022-01-07,"Hannon Shepard, Michael Young, Billy Kihei","2159008991, 2159011732, 1936237",https://www.semanticscholar.org/paper/0002b568154d66ae99ead0427c3f9795a46e9029,"Computer Science, Engineering",2159008991,,,
20200002b568154d66ae99ead0427c3f9795a46e9029,202010.1109/ICCE53296.2022.9730555,2020 Physical Security Using Machine Learning to Detect Lock Picking at Traffic Cabinets,,IEEE International Conference on Consumer Electronics,conference,9012153e-aed6-447e-bccf-4aaf6f4bf52f,2022 IEEE International Conference on Consumer Electronics (ICCE),1-6,Unknown,20209012153e-aed6-447e-bccf-4aaf6f4bf52f,2020,2022-01-07,"Hannon Shepard, Michael Young, Billy Kihei","2159008991, 2159011732, 1936237",https://www.semanticscholar.org/paper/0002b568154d66ae99ead0427c3f9795a46e9029,"Computer Science, Engineering",2159008991,,,
20190002b568154d66ae99ead0427c3f9795a46e9029,201910.1109/ICCE53296.2022.9730555,2019 Physical Security Using Machine Learning to Detect Lock Picking at Traffic Cabinets,,IEEE International Conference on Consumer Electronics,conference,9012153e-aed6-447e-bccf-4aaf6f4bf52f,2022 IEEE International Conference on Consumer Electronics (ICCE),1-6,Unknown,20199012153e-aed6-447e-bccf-4aaf6f4bf52f,2019,2022-01-07,"Hannon Shepard, Michael Young, Billy Kihei","2159008991, 2159011732, 1936237",https://www.semanticscholar.org/paper/0002b568154d66ae99ead0427c3f9795a46e9029,"Computer Science, Engineering",2159008991,,,
20180002b568154d66ae99ead0427c3f9795a46e9029,201810.1109/ICCE53296.2022.9730555,2018 Physical Security Using Machine Learning to Detect Lock Picking at Traffic Cabinets,,IEEE International Conference on Consumer Electronics,conference,9012153e-aed6-447e-bccf-4aaf6f4bf52f,2022 IEEE International Conference on Consumer Electronics (ICCE),1-6,Unknown,20189012153e-aed6-447e-bccf-4aaf6f4bf52f,2018,2022-01-07,"Hannon Shepard, Michael Young, Billy Kihei","2159008991, 2159011732, 1936237",https://www.semanticscholar.org/paper/0002b568154d66ae99ead0427c3f9795a46e9029,"Computer Science, Engineering",2159008991,,,
201800035935ebe4b477aa66135beba8da4abe3f591d,201810.1109/ISNCC.2019.8909134,2018 An Efficient Way for Satellite Interference Signal Recognition Via Incremental Learning,,"International Symposium on Networks, Computers and Communications",conference,022430e1-ff7e-4441-8457-affe82b3bd65,"2019 International Symposium on Networks, Computers and Communications (ISNCC)",1-5,Unknown,2018022430e1-ff7e-4441-8457-affe82b3bd65,2018,2019-06-01,"Ying Yang, Lidong Zhu","2146419472, 3127521",https://www.semanticscholar.org/paper/00035935ebe4b477aa66135beba8da4abe3f591d,"Computer Science, Engineering",2146419472,,,
201700035935ebe4b477aa66135beba8da4abe3f591d,201710.1109/ISNCC.2019.8909134,2017 An Efficient Way for Satellite Interference Signal Recognition Via Incremental Learning,,"International Symposium on Networks, Computers and Communications",conference,022430e1-ff7e-4441-8457-affe82b3bd65,"2019 International Symposium on Networks, Computers and Communications (ISNCC)",1-5,Unknown,2017022430e1-ff7e-4441-8457-affe82b3bd65,2017,2019-06-01,"Ying Yang, Lidong Zhu","2146419472, 3127521",https://www.semanticscholar.org/paper/00035935ebe4b477aa66135beba8da4abe3f591d,"Computer Science, Engineering",2146419472,,,
201600035935ebe4b477aa66135beba8da4abe3f591d,201610.1109/ISNCC.2019.8909134,2016 An Efficient Way for Satellite Interference Signal Recognition Via Incremental Learning,,"International Symposium on Networks, Computers and Communications",conference,022430e1-ff7e-4441-8457-affe82b3bd65,"2019 International Symposium on Networks, Computers and Communications (ISNCC)",1-5,Unknown,2016022430e1-ff7e-4441-8457-affe82b3bd65,2016,2019-06-01,"Ying Yang, Lidong Zhu","2146419472, 3127521",https://www.semanticscholar.org/paper/00035935ebe4b477aa66135beba8da4abe3f591d,"Computer Science, Engineering",2146419472,,,
201500035935ebe4b477aa66135beba8da4abe3f591d,201510.1109/ISNCC.2019.8909134,2015 An Efficient Way for Satellite Interference Signal Recognition Via Incremental Learning,,"International Symposium on Networks, Computers and Communications",conference,022430e1-ff7e-4441-8457-affe82b3bd65,"2019 International Symposium on Networks, Computers and Communications (ISNCC)",1-5,Unknown,2015022430e1-ff7e-4441-8457-affe82b3bd65,2015,2019-06-01,"Ying Yang, Lidong Zhu","2146419472, 3127521",https://www.semanticscholar.org/paper/00035935ebe4b477aa66135beba8da4abe3f591d,"Computer Science, Engineering",2146419472,,,
202000040bdd447f041a50ae95fd51926cf435ef1eba,202010.3390/s21175948,"2020 Early Detection of Aphid Infestation and Insect-Plant Interaction Assessment in Wheat Using a Low-Cost Electronic Nose (E-Nose), Near-Infrared Spectroscopy and Machine Learning Modeling","Advances in early insect detection have been reported using digital technologies through camera systems, sensor networks, and remote sensing coupled with machine learning (ML) modeling. However, up to date, there is no cost-effective system to monitor insect presence accurately and insect-plant interactions. This paper presents results on the implementation of near-infrared spectroscopy (NIR) and a low-cost electronic nose (e-nose) coupled with machine learning. Several artificial neural network (ANN) models were developed based on classification to detect the level of infestation and regression to predict insect numbers for both e-nose and NIR inputs, and plant physiological response based on e-nose to predict photosynthesis rate (A), transpiration (E) and stomatal conductance (gs). Results showed high accuracy for classification models ranging within 96.5–99.3% for NIR and between 94.2–99.2% using e-nose data as inputs. For regression models, high correlation coefficients were obtained for physiological parameters (gs, E and A) using e-nose data from all samples as inputs (R = 0.86) and R = 0.94 considering only control plants (no insect presence). Finally, R = 0.97 for NIR and R = 0.99 for e-nose data as inputs were obtained to predict number of insects. Performances for all models developed showed no signs of overfitting. In this paper, a field-based system using unmanned aerial vehicles with the e-nose as payload was proposed and described for deployment of ML models to aid growers in pest management practices.",Italian National Conference on Sensors,conference,3dbf084c-ef47-4b74-9919-047b40704538,"Sensors (Basel, Switzerland)",Unknown,21,20203dbf084c-ef47-4b74-9919-047b40704538,2020,2021-09-01,"S. Fuentes, E. Tongson, R. Unnithan, Claudia Gonzalez Viejo","145298798, 30772377, 21058844, 13288046",https://www.semanticscholar.org/paper/00040bdd447f041a50ae95fd51926cf435ef1eba,"Biology, Computer Science, Engineering, Environmental Science, Medicine",145298798,,,
201900040bdd447f041a50ae95fd51926cf435ef1eba,201910.3390/s21175948,"2019 Early Detection of Aphid Infestation and Insect-Plant Interaction Assessment in Wheat Using a Low-Cost Electronic Nose (E-Nose), Near-Infrared Spectroscopy and Machine Learning Modeling","Advances in early insect detection have been reported using digital technologies through camera systems, sensor networks, and remote sensing coupled with machine learning (ML) modeling. However, up to date, there is no cost-effective system to monitor insect presence accurately and insect-plant interactions. This paper presents results on the implementation of near-infrared spectroscopy (NIR) and a low-cost electronic nose (e-nose) coupled with machine learning. Several artificial neural network (ANN) models were developed based on classification to detect the level of infestation and regression to predict insect numbers for both e-nose and NIR inputs, and plant physiological response based on e-nose to predict photosynthesis rate (A), transpiration (E) and stomatal conductance (gs). Results showed high accuracy for classification models ranging within 96.5–99.3% for NIR and between 94.2–99.2% using e-nose data as inputs. For regression models, high correlation coefficients were obtained for physiological parameters (gs, E and A) using e-nose data from all samples as inputs (R = 0.86) and R = 0.94 considering only control plants (no insect presence). Finally, R = 0.97 for NIR and R = 0.99 for e-nose data as inputs were obtained to predict number of insects. Performances for all models developed showed no signs of overfitting. In this paper, a field-based system using unmanned aerial vehicles with the e-nose as payload was proposed and described for deployment of ML models to aid growers in pest management practices.",Italian National Conference on Sensors,conference,3dbf084c-ef47-4b74-9919-047b40704538,"Sensors (Basel, Switzerland)",Unknown,21,20193dbf084c-ef47-4b74-9919-047b40704538,2019,2021-09-01,"S. Fuentes, E. Tongson, R. Unnithan, Claudia Gonzalez Viejo","145298798, 30772377, 21058844, 13288046",https://www.semanticscholar.org/paper/00040bdd447f041a50ae95fd51926cf435ef1eba,"Biology, Computer Science, Engineering, Environmental Science, Medicine",145298798,,,
201800040bdd447f041a50ae95fd51926cf435ef1eba,201810.3390/s21175948,"2018 Early Detection of Aphid Infestation and Insect-Plant Interaction Assessment in Wheat Using a Low-Cost Electronic Nose (E-Nose), Near-Infrared Spectroscopy and Machine Learning Modeling","Advances in early insect detection have been reported using digital technologies through camera systems, sensor networks, and remote sensing coupled with machine learning (ML) modeling. However, up to date, there is no cost-effective system to monitor insect presence accurately and insect-plant interactions. This paper presents results on the implementation of near-infrared spectroscopy (NIR) and a low-cost electronic nose (e-nose) coupled with machine learning. Several artificial neural network (ANN) models were developed based on classification to detect the level of infestation and regression to predict insect numbers for both e-nose and NIR inputs, and plant physiological response based on e-nose to predict photosynthesis rate (A), transpiration (E) and stomatal conductance (gs). Results showed high accuracy for classification models ranging within 96.5–99.3% for NIR and between 94.2–99.2% using e-nose data as inputs. For regression models, high correlation coefficients were obtained for physiological parameters (gs, E and A) using e-nose data from all samples as inputs (R = 0.86) and R = 0.94 considering only control plants (no insect presence). Finally, R = 0.97 for NIR and R = 0.99 for e-nose data as inputs were obtained to predict number of insects. Performances for all models developed showed no signs of overfitting. In this paper, a field-based system using unmanned aerial vehicles with the e-nose as payload was proposed and described for deployment of ML models to aid growers in pest management practices.",Italian National Conference on Sensors,conference,3dbf084c-ef47-4b74-9919-047b40704538,"Sensors (Basel, Switzerland)",Unknown,21,20183dbf084c-ef47-4b74-9919-047b40704538,2018,2021-09-01,"S. Fuentes, E. Tongson, R. Unnithan, Claudia Gonzalez Viejo","145298798, 30772377, 21058844, 13288046",https://www.semanticscholar.org/paper/00040bdd447f041a50ae95fd51926cf435ef1eba,"Biology, Computer Science, Engineering, Environmental Science, Medicine",145298798,,,
201700040bdd447f041a50ae95fd51926cf435ef1eba,201710.3390/s21175948,"2017 Early Detection of Aphid Infestation and Insect-Plant Interaction Assessment in Wheat Using a Low-Cost Electronic Nose (E-Nose), Near-Infrared Spectroscopy and Machine Learning Modeling","Advances in early insect detection have been reported using digital technologies through camera systems, sensor networks, and remote sensing coupled with machine learning (ML) modeling. However, up to date, there is no cost-effective system to monitor insect presence accurately and insect-plant interactions. This paper presents results on the implementation of near-infrared spectroscopy (NIR) and a low-cost electronic nose (e-nose) coupled with machine learning. Several artificial neural network (ANN) models were developed based on classification to detect the level of infestation and regression to predict insect numbers for both e-nose and NIR inputs, and plant physiological response based on e-nose to predict photosynthesis rate (A), transpiration (E) and stomatal conductance (gs). Results showed high accuracy for classification models ranging within 96.5–99.3% for NIR and between 94.2–99.2% using e-nose data as inputs. For regression models, high correlation coefficients were obtained for physiological parameters (gs, E and A) using e-nose data from all samples as inputs (R = 0.86) and R = 0.94 considering only control plants (no insect presence). Finally, R = 0.97 for NIR and R = 0.99 for e-nose data as inputs were obtained to predict number of insects. Performances for all models developed showed no signs of overfitting. In this paper, a field-based system using unmanned aerial vehicles with the e-nose as payload was proposed and described for deployment of ML models to aid growers in pest management practices.",Italian National Conference on Sensors,conference,3dbf084c-ef47-4b74-9919-047b40704538,"Sensors (Basel, Switzerland)",Unknown,21,20173dbf084c-ef47-4b74-9919-047b40704538,2017,2021-09-01,"S. Fuentes, E. Tongson, R. Unnithan, Claudia Gonzalez Viejo","145298798, 30772377, 21058844, 13288046",https://www.semanticscholar.org/paper/00040bdd447f041a50ae95fd51926cf435ef1eba,"Biology, Computer Science, Engineering, Environmental Science, Medicine",145298798,,,
202200044a527a0642b08f385cda845331f0fc8cbbfd,202210.3390/s23031639,2022 At the Confluence of Artificial Intelligence and Edge Computing in IoT-Based Applications: A Review and New Perspectives,"Given its advantages in low latency, fast response, context-aware services, mobility, and privacy preservation, edge computing has emerged as the key support for intelligent applications and 5G/6G Internet of things (IoT) networks. This technology extends the cloud by providing intermediate services at the edge of the network and improving the quality of service for latency-sensitive applications. Many AI-based solutions with machine learning, deep learning, and swarm intelligence have exhibited the high potential to perform intelligent cognitive sensing, intelligent network management, big data analytics, and security enhancement for edge-based smart applications. Despite its many benefits, there are still concerns about the required capabilities of intelligent edge computing to deal with the computational complexity of machine learning techniques for big IoT data analytics. Resource constraints of edge computing, distributed computing, efficient orchestration, and synchronization of resources are all factors that require attention for quality of service improvement and cost-effective development of edge-based smart applications. In this context, this paper aims to explore the confluence of AI and edge in many application domains in order to leverage the potential of the existing research around these factors and identify new perspectives. The confluence of edge computing and AI improves the quality of user experience in emergency situations, such as in the Internet of vehicles, where critical inaccuracies or delays can lead to damage and accidents. These are the same factors that most studies have used to evaluate the success of an edge-based application. In this review, we first provide an in-depth analysis of the state of the art of AI in edge-based applications with a focus on eight application areas: smart agriculture, smart environment, smart grid, smart healthcare, smart industry, smart education, smart transportation, and security and privacy. Then, we present a qualitative comparison that emphasizes the main objective of the confluence, the roles and the use of artificial intelligence at the network edge, and the key enabling technologies for edge analytics. Then, open challenges, future research directions, and perspectives are identified and discussed. Finally, some conclusions are drawn.",Italian National Conference on Sensors,conference,3dbf084c-ef47-4b74-9919-047b40704538,"Sensors (Basel, Switzerland)",Unknown,23,20223dbf084c-ef47-4b74-9919-047b40704538,2022,2023-02-01,"Amira Bourechak, Ouarda Zedadra, M. N. Kouahla, Antonio Guerrieri, Hamid Seridi, G. Fortino","2204340369, 1873244, 3401692, 143627888, 1392623159, 1691577",https://www.semanticscholar.org/paper/00044a527a0642b08f385cda845331f0fc8cbbfd,"Computer Science, Engineering, Environmental Science, Medicine",2204340369,,,
202100044a527a0642b08f385cda845331f0fc8cbbfd,202110.3390/s23031639,2021 At the Confluence of Artificial Intelligence and Edge Computing in IoT-Based Applications: A Review and New Perspectives,"Given its advantages in low latency, fast response, context-aware services, mobility, and privacy preservation, edge computing has emerged as the key support for intelligent applications and 5G/6G Internet of things (IoT) networks. This technology extends the cloud by providing intermediate services at the edge of the network and improving the quality of service for latency-sensitive applications. Many AI-based solutions with machine learning, deep learning, and swarm intelligence have exhibited the high potential to perform intelligent cognitive sensing, intelligent network management, big data analytics, and security enhancement for edge-based smart applications. Despite its many benefits, there are still concerns about the required capabilities of intelligent edge computing to deal with the computational complexity of machine learning techniques for big IoT data analytics. Resource constraints of edge computing, distributed computing, efficient orchestration, and synchronization of resources are all factors that require attention for quality of service improvement and cost-effective development of edge-based smart applications. In this context, this paper aims to explore the confluence of AI and edge in many application domains in order to leverage the potential of the existing research around these factors and identify new perspectives. The confluence of edge computing and AI improves the quality of user experience in emergency situations, such as in the Internet of vehicles, where critical inaccuracies or delays can lead to damage and accidents. These are the same factors that most studies have used to evaluate the success of an edge-based application. In this review, we first provide an in-depth analysis of the state of the art of AI in edge-based applications with a focus on eight application areas: smart agriculture, smart environment, smart grid, smart healthcare, smart industry, smart education, smart transportation, and security and privacy. Then, we present a qualitative comparison that emphasizes the main objective of the confluence, the roles and the use of artificial intelligence at the network edge, and the key enabling technologies for edge analytics. Then, open challenges, future research directions, and perspectives are identified and discussed. Finally, some conclusions are drawn.",Italian National Conference on Sensors,conference,3dbf084c-ef47-4b74-9919-047b40704538,"Sensors (Basel, Switzerland)",Unknown,23,20213dbf084c-ef47-4b74-9919-047b40704538,2021,2023-02-01,"Amira Bourechak, Ouarda Zedadra, M. N. Kouahla, Antonio Guerrieri, Hamid Seridi, G. Fortino","2204340369, 1873244, 3401692, 143627888, 1392623159, 1691577",https://www.semanticscholar.org/paper/00044a527a0642b08f385cda845331f0fc8cbbfd,"Computer Science, Engineering, Environmental Science, Medicine",2204340369,,,
