Edition_ID,Venue_ID,Conference_Edition_Name,Year
20206363ebc9-706a-4203-b804-148cbf8810ce,6363ebc9-706a-4203-b804-148cbf8810ce,2020 IEEE International Conference on Bioinformatics and Biomedicine,2020
20196363ebc9-706a-4203-b804-148cbf8810ce,6363ebc9-706a-4203-b804-148cbf8810ce,2019 IEEE International Conference on Bioinformatics and Biomedicine,2019
20186363ebc9-706a-4203-b804-148cbf8810ce,6363ebc9-706a-4203-b804-148cbf8810ce,2018 IEEE International Conference on Bioinformatics and Biomedicine,2018
20176363ebc9-706a-4203-b804-148cbf8810ce,6363ebc9-706a-4203-b804-148cbf8810ce,2017 IEEE International Conference on Bioinformatics and Biomedicine,2017
20229012153e-aed6-447e-bccf-4aaf6f4bf52f,9012153e-aed6-447e-bccf-4aaf6f4bf52f,2022 IEEE International Conference on Consumer Electronics,2022
20219012153e-aed6-447e-bccf-4aaf6f4bf52f,9012153e-aed6-447e-bccf-4aaf6f4bf52f,2021 IEEE International Conference on Consumer Electronics,2021
20209012153e-aed6-447e-bccf-4aaf6f4bf52f,9012153e-aed6-447e-bccf-4aaf6f4bf52f,2020 IEEE International Conference on Consumer Electronics,2020
20199012153e-aed6-447e-bccf-4aaf6f4bf52f,9012153e-aed6-447e-bccf-4aaf6f4bf52f,2019 IEEE International Conference on Consumer Electronics,2019
20189012153e-aed6-447e-bccf-4aaf6f4bf52f,9012153e-aed6-447e-bccf-4aaf6f4bf52f,2018 IEEE International Conference on Consumer Electronics,2018
2019022430e1-ff7e-4441-8457-affe82b3bd65,022430e1-ff7e-4441-8457-affe82b3bd65,"2019 International Symposium on Networks, Computers and Communications",2019
2018022430e1-ff7e-4441-8457-affe82b3bd65,022430e1-ff7e-4441-8457-affe82b3bd65,"2018 International Symposium on Networks, Computers and Communications",2018
2017022430e1-ff7e-4441-8457-affe82b3bd65,022430e1-ff7e-4441-8457-affe82b3bd65,"2017 International Symposium on Networks, Computers and Communications",2017
2016022430e1-ff7e-4441-8457-affe82b3bd65,022430e1-ff7e-4441-8457-affe82b3bd65,"2016 International Symposium on Networks, Computers and Communications",2016
2015022430e1-ff7e-4441-8457-affe82b3bd65,022430e1-ff7e-4441-8457-affe82b3bd65,"2015 International Symposium on Networks, Computers and Communications",2015
20213dbf084c-ef47-4b74-9919-047b40704538,3dbf084c-ef47-4b74-9919-047b40704538,2021 Italian National Conference on Sensors,2021
20203dbf084c-ef47-4b74-9919-047b40704538,3dbf084c-ef47-4b74-9919-047b40704538,2020 Italian National Conference on Sensors,2020
20193dbf084c-ef47-4b74-9919-047b40704538,3dbf084c-ef47-4b74-9919-047b40704538,2019 Italian National Conference on Sensors,2019
20183dbf084c-ef47-4b74-9919-047b40704538,3dbf084c-ef47-4b74-9919-047b40704538,2018 Italian National Conference on Sensors,2018
20173dbf084c-ef47-4b74-9919-047b40704538,3dbf084c-ef47-4b74-9919-047b40704538,2017 Italian National Conference on Sensors,2017
20233dbf084c-ef47-4b74-9919-047b40704538,3dbf084c-ef47-4b74-9919-047b40704538,2023 Italian National Conference on Sensors,2023
20223dbf084c-ef47-4b74-9919-047b40704538,3dbf084c-ef47-4b74-9919-047b40704538,2022 Italian National Conference on Sensors,2022
2011b7d9506a-45c5-45d0-9588-e7c946acb8c9,b7d9506a-45c5-45d0-9588-e7c946acb8c9,2011 Computational Intelligence in Security for Information Systems,2011
2010b7d9506a-45c5-45d0-9588-e7c946acb8c9,b7d9506a-45c5-45d0-9588-e7c946acb8c9,2010 Computational Intelligence in Security for Information Systems,2010
2009b7d9506a-45c5-45d0-9588-e7c946acb8c9,b7d9506a-45c5-45d0-9588-e7c946acb8c9,2009 Computational Intelligence in Security for Information Systems,2009
2008b7d9506a-45c5-45d0-9588-e7c946acb8c9,b7d9506a-45c5-45d0-9588-e7c946acb8c9,2008 Computational Intelligence in Security for Information Systems,2008
2007b7d9506a-45c5-45d0-9588-e7c946acb8c9,b7d9506a-45c5-45d0-9588-e7c946acb8c9,2007 Computational Intelligence in Security for Information Systems,2007
201929b9c461-963e-4d11-b2ab-92c182243942,29b9c461-963e-4d11-b2ab-92c182243942,2019 IEEE Symposium on Security and Privacy,2019
201829b9c461-963e-4d11-b2ab-92c182243942,29b9c461-963e-4d11-b2ab-92c182243942,2018 IEEE Symposium on Security and Privacy,2018
201729b9c461-963e-4d11-b2ab-92c182243942,29b9c461-963e-4d11-b2ab-92c182243942,2017 IEEE Symposium on Security and Privacy,2017
201629b9c461-963e-4d11-b2ab-92c182243942,29b9c461-963e-4d11-b2ab-92c182243942,2016 IEEE Symposium on Security and Privacy,2016
201529b9c461-963e-4d11-b2ab-92c182243942,29b9c461-963e-4d11-b2ab-92c182243942,2015 IEEE Symposium on Security and Privacy,2015
2023b8e1c2e0-1b74-4058-baa7-54f0bb392eba,b8e1c2e0-1b74-4058-baa7-54f0bb392eba,2023 Computing and Communication Workshop and Conference,2023
2022b8e1c2e0-1b74-4058-baa7-54f0bb392eba,b8e1c2e0-1b74-4058-baa7-54f0bb392eba,2022 Computing and Communication Workshop and Conference,2022
2021b8e1c2e0-1b74-4058-baa7-54f0bb392eba,b8e1c2e0-1b74-4058-baa7-54f0bb392eba,2021 Computing and Communication Workshop and Conference,2021
2020b8e1c2e0-1b74-4058-baa7-54f0bb392eba,b8e1c2e0-1b74-4058-baa7-54f0bb392eba,2020 Computing and Communication Workshop and Conference,2020
2019b8e1c2e0-1b74-4058-baa7-54f0bb392eba,b8e1c2e0-1b74-4058-baa7-54f0bb392eba,2019 Computing and Communication Workshop and Conference,2019
2024d9720b90-d60b-48bc-9df8-87a30b9a60dd,d9720b90-d60b-48bc-9df8-87a30b9a60dd,2024 Neural Information Processing Systems,2024
2023d9720b90-d60b-48bc-9df8-87a30b9a60dd,d9720b90-d60b-48bc-9df8-87a30b9a60dd,2023 Neural Information Processing Systems,2023
2022d9720b90-d60b-48bc-9df8-87a30b9a60dd,d9720b90-d60b-48bc-9df8-87a30b9a60dd,2022 Neural Information Processing Systems,2022
2021d9720b90-d60b-48bc-9df8-87a30b9a60dd,d9720b90-d60b-48bc-9df8-87a30b9a60dd,2021 Neural Information Processing Systems,2021
2020d9720b90-d60b-48bc-9df8-87a30b9a60dd,d9720b90-d60b-48bc-9df8-87a30b9a60dd,2020 Neural Information Processing Systems,2020
20241124d164-490d-4da9-b0c2-ce8a8dc98202,1124d164-490d-4da9-b0c2-ce8a8dc98202,2024 BigData Congress [Services Society],2024
20231124d164-490d-4da9-b0c2-ce8a8dc98202,1124d164-490d-4da9-b0c2-ce8a8dc98202,2023 BigData Congress [Services Society],2023
20221124d164-490d-4da9-b0c2-ce8a8dc98202,1124d164-490d-4da9-b0c2-ce8a8dc98202,2022 BigData Congress [Services Society],2022
20211124d164-490d-4da9-b0c2-ce8a8dc98202,1124d164-490d-4da9-b0c2-ce8a8dc98202,2021 BigData Congress [Services Society],2021
20201124d164-490d-4da9-b0c2-ce8a8dc98202,1124d164-490d-4da9-b0c2-ce8a8dc98202,2020 BigData Congress [Services Society],2020
2018ab0ea0d9-ab60-449f-ac5e-9cbc0e3d5a6e,ab0ea0d9-ab60-449f-ac5e-9cbc0e3d5a6e,2018 International Conference Intelligent Data Communication Technologies and Internet Things,2018
2017ab0ea0d9-ab60-449f-ac5e-9cbc0e3d5a6e,ab0ea0d9-ab60-449f-ac5e-9cbc0e3d5a6e,2017 International Conference Intelligent Data Communication Technologies and Internet Things,2017
2016ab0ea0d9-ab60-449f-ac5e-9cbc0e3d5a6e,ab0ea0d9-ab60-449f-ac5e-9cbc0e3d5a6e,2016 International Conference Intelligent Data Communication Technologies and Internet Things,2016
2015ab0ea0d9-ab60-449f-ac5e-9cbc0e3d5a6e,ab0ea0d9-ab60-449f-ac5e-9cbc0e3d5a6e,2015 International Conference Intelligent Data Communication Technologies and Internet Things,2015
2014ab0ea0d9-ab60-449f-ac5e-9cbc0e3d5a6e,ab0ea0d9-ab60-449f-ac5e-9cbc0e3d5a6e,2014 International Conference Intelligent Data Communication Technologies and Internet Things,2014
2024cb4cad41-2375-4efe-b205-7ce789c1b8af,cb4cad41-2375-4efe-b205-7ce789c1b8af,2024 International Symposium on Communications and Information Technologies,2024
2023cb4cad41-2375-4efe-b205-7ce789c1b8af,cb4cad41-2375-4efe-b205-7ce789c1b8af,2023 International Symposium on Communications and Information Technologies,2023
2022cb4cad41-2375-4efe-b205-7ce789c1b8af,cb4cad41-2375-4efe-b205-7ce789c1b8af,2022 International Symposium on Communications and Information Technologies,2022
2021cb4cad41-2375-4efe-b205-7ce789c1b8af,cb4cad41-2375-4efe-b205-7ce789c1b8af,2021 International Symposium on Communications and Information Technologies,2021
2020cb4cad41-2375-4efe-b205-7ce789c1b8af,cb4cad41-2375-4efe-b205-7ce789c1b8af,2020 International Symposium on Communications and Information Technologies,2020
2020b0f32794-b6c9-414c-b208-f48488188f0f,b0f32794-b6c9-414c-b208-f48488188f0f,2020 International Conference on Networking in Education and Research,2020
2019b0f32794-b6c9-414c-b208-f48488188f0f,b0f32794-b6c9-414c-b208-f48488188f0f,2019 International Conference on Networking in Education and Research,2019
2018b0f32794-b6c9-414c-b208-f48488188f0f,b0f32794-b6c9-414c-b208-f48488188f0f,2018 International Conference on Networking in Education and Research,2018
2017b0f32794-b6c9-414c-b208-f48488188f0f,b0f32794-b6c9-414c-b208-f48488188f0f,2017 International Conference on Networking in Education and Research,2017
2016b0f32794-b6c9-414c-b208-f48488188f0f,b0f32794-b6c9-414c-b208-f48488188f0f,2016 International Conference on Networking in Education and Research,2016
20051ec5a55c-414e-4f79-b7dc-48e1dba3618e,1ec5a55c-414e-4f79-b7dc-48e1dba3618e,2005 IEEE Region 10 Conference,2005
20041ec5a55c-414e-4f79-b7dc-48e1dba3618e,1ec5a55c-414e-4f79-b7dc-48e1dba3618e,2004 IEEE Region 10 Conference,2004
20031ec5a55c-414e-4f79-b7dc-48e1dba3618e,1ec5a55c-414e-4f79-b7dc-48e1dba3618e,2003 IEEE Region 10 Conference,2003
20021ec5a55c-414e-4f79-b7dc-48e1dba3618e,1ec5a55c-414e-4f79-b7dc-48e1dba3618e,2002 IEEE Region 10 Conference,2002
20011ec5a55c-414e-4f79-b7dc-48e1dba3618e,1ec5a55c-414e-4f79-b7dc-48e1dba3618e,2001 IEEE Region 10 Conference,2001
2022b6744d41-3aae-472d-98cf-21f4373115b2,b6744d41-3aae-472d-98cf-21f4373115b2,2022 International Conference on Industrial Informatics,2022
2021b6744d41-3aae-472d-98cf-21f4373115b2,b6744d41-3aae-472d-98cf-21f4373115b2,2021 International Conference on Industrial Informatics,2021
2020b6744d41-3aae-472d-98cf-21f4373115b2,b6744d41-3aae-472d-98cf-21f4373115b2,2020 International Conference on Industrial Informatics,2020
2019b6744d41-3aae-472d-98cf-21f4373115b2,b6744d41-3aae-472d-98cf-21f4373115b2,2019 International Conference on Industrial Informatics,2019
2018b6744d41-3aae-472d-98cf-21f4373115b2,b6744d41-3aae-472d-98cf-21f4373115b2,2018 International Conference on Industrial Informatics,2018
2018e1afedcc-2543-4f61-b797-bc52344438e7,e1afedcc-2543-4f61-b797-bc52344438e7,"2018 International Conference on Social Networks Analysis, Management and Security",2018
2017e1afedcc-2543-4f61-b797-bc52344438e7,e1afedcc-2543-4f61-b797-bc52344438e7,"2017 International Conference on Social Networks Analysis, Management and Security",2017
2016e1afedcc-2543-4f61-b797-bc52344438e7,e1afedcc-2543-4f61-b797-bc52344438e7,"2016 International Conference on Social Networks Analysis, Management and Security",2016
2015e1afedcc-2543-4f61-b797-bc52344438e7,e1afedcc-2543-4f61-b797-bc52344438e7,"2015 International Conference on Social Networks Analysis, Management and Security",2015
2014e1afedcc-2543-4f61-b797-bc52344438e7,e1afedcc-2543-4f61-b797-bc52344438e7,"2014 International Conference on Social Networks Analysis, Management and Security",2014
202346ea0717-6bd1-426d-aa9f-c76eb45e1805,46ea0717-6bd1-426d-aa9f-c76eb45e1805,2023 International Conference on Mechatronics and Machine Vision in Practice,2023
202246ea0717-6bd1-426d-aa9f-c76eb45e1805,46ea0717-6bd1-426d-aa9f-c76eb45e1805,2022 International Conference on Mechatronics and Machine Vision in Practice,2022
202146ea0717-6bd1-426d-aa9f-c76eb45e1805,46ea0717-6bd1-426d-aa9f-c76eb45e1805,2021 International Conference on Mechatronics and Machine Vision in Practice,2021
202046ea0717-6bd1-426d-aa9f-c76eb45e1805,46ea0717-6bd1-426d-aa9f-c76eb45e1805,2020 International Conference on Mechatronics and Machine Vision in Practice,2020
201946ea0717-6bd1-426d-aa9f-c76eb45e1805,46ea0717-6bd1-426d-aa9f-c76eb45e1805,2019 International Conference on Mechatronics and Machine Vision in Practice,2019
201537888117-3756-41ca-8398-727924167457,37888117-3756-41ca-8398-727924167457,"2015 International Conference on Control, Engineering & Information Technology",2015
201437888117-3756-41ca-8398-727924167457,37888117-3756-41ca-8398-727924167457,"2014 International Conference on Control, Engineering & Information Technology",2014
201337888117-3756-41ca-8398-727924167457,37888117-3756-41ca-8398-727924167457,"2013 International Conference on Control, Engineering & Information Technology",2013
201237888117-3756-41ca-8398-727924167457,37888117-3756-41ca-8398-727924167457,"2012 International Conference on Control, Engineering & Information Technology",2012
201137888117-3756-41ca-8398-727924167457,37888117-3756-41ca-8398-727924167457,"2011 International Conference on Control, Engineering & Information Technology",2011
202334e23edc-d287-46e8-9963-ad079321aa9f,34e23edc-d287-46e8-9963-ad079321aa9f,2023 International Symposium on Autonomous Decentralized Systems,2023
202234e23edc-d287-46e8-9963-ad079321aa9f,34e23edc-d287-46e8-9963-ad079321aa9f,2022 International Symposium on Autonomous Decentralized Systems,2022
202134e23edc-d287-46e8-9963-ad079321aa9f,34e23edc-d287-46e8-9963-ad079321aa9f,2021 International Symposium on Autonomous Decentralized Systems,2021
202034e23edc-d287-46e8-9963-ad079321aa9f,34e23edc-d287-46e8-9963-ad079321aa9f,2020 International Symposium on Autonomous Decentralized Systems,2020
201934e23edc-d287-46e8-9963-ad079321aa9f,34e23edc-d287-46e8-9963-ad079321aa9f,2019 International Symposium on Autonomous Decentralized Systems,2019
202297a677bb-0fa7-4c1d-a54e-24db1fb98dd5,97a677bb-0fa7-4c1d-a54e-24db1fb98dd5,2022 International Conference on Computational Intelligence and Communication Networks,2022
202197a677bb-0fa7-4c1d-a54e-24db1fb98dd5,97a677bb-0fa7-4c1d-a54e-24db1fb98dd5,2021 International Conference on Computational Intelligence and Communication Networks,2021
202097a677bb-0fa7-4c1d-a54e-24db1fb98dd5,97a677bb-0fa7-4c1d-a54e-24db1fb98dd5,2020 International Conference on Computational Intelligence and Communication Networks,2020
201997a677bb-0fa7-4c1d-a54e-24db1fb98dd5,97a677bb-0fa7-4c1d-a54e-24db1fb98dd5,2019 International Conference on Computational Intelligence and Communication Networks,2019
201897a677bb-0fa7-4c1d-a54e-24db1fb98dd5,97a677bb-0fa7-4c1d-a54e-24db1fb98dd5,2018 International Conference on Computational Intelligence and Communication Networks,2018
202447e0888a-1a02-4c10-896a-464d8d7572a4,47e0888a-1a02-4c10-896a-464d8d7572a4,"2024 International Conference on Computing, Networking and Communications",2024
202347e0888a-1a02-4c10-896a-464d8d7572a4,47e0888a-1a02-4c10-896a-464d8d7572a4,"2023 International Conference on Computing, Networking and Communications",2023
202247e0888a-1a02-4c10-896a-464d8d7572a4,47e0888a-1a02-4c10-896a-464d8d7572a4,"2022 International Conference on Computing, Networking and Communications",2022
202147e0888a-1a02-4c10-896a-464d8d7572a4,47e0888a-1a02-4c10-896a-464d8d7572a4,"2021 International Conference on Computing, Networking and Communications",2021
202047e0888a-1a02-4c10-896a-464d8d7572a4,47e0888a-1a02-4c10-896a-464d8d7572a4,"2020 International Conference on Computing, Networking and Communications",2020
202151227d50-1d22-48c8-ac32-5466d5c3d16b,51227d50-1d22-48c8-ac32-5466d5c3d16b,2021 SMART,2021
202051227d50-1d22-48c8-ac32-5466d5c3d16b,51227d50-1d22-48c8-ac32-5466d5c3d16b,2020 SMART,2020
201951227d50-1d22-48c8-ac32-5466d5c3d16b,51227d50-1d22-48c8-ac32-5466d5c3d16b,2019 SMART,2019
201851227d50-1d22-48c8-ac32-5466d5c3d16b,51227d50-1d22-48c8-ac32-5466d5c3d16b,2018 SMART,2018
201751227d50-1d22-48c8-ac32-5466d5c3d16b,51227d50-1d22-48c8-ac32-5466d5c3d16b,2017 SMART,2017
2019568703b2-71b4-4fe5-97b0-1696cbc9ff46,568703b2-71b4-4fe5-97b0-1696cbc9ff46,"2019 International Conference on Signal Processing, Communications and Computing",2019
2018568703b2-71b4-4fe5-97b0-1696cbc9ff46,568703b2-71b4-4fe5-97b0-1696cbc9ff46,"2018 International Conference on Signal Processing, Communications and Computing",2018
2017568703b2-71b4-4fe5-97b0-1696cbc9ff46,568703b2-71b4-4fe5-97b0-1696cbc9ff46,"2017 International Conference on Signal Processing, Communications and Computing",2017
2016568703b2-71b4-4fe5-97b0-1696cbc9ff46,568703b2-71b4-4fe5-97b0-1696cbc9ff46,"2016 International Conference on Signal Processing, Communications and Computing",2016
2015568703b2-71b4-4fe5-97b0-1696cbc9ff46,568703b2-71b4-4fe5-97b0-1696cbc9ff46,"2015 International Conference on Signal Processing, Communications and Computing",2015
20244ee942df-8fd9-437c-a9a6-e82a7cfdfb33,4ee942df-8fd9-437c-a9a6-e82a7cfdfb33,2024 International Conference on Data Science and Information Technology,2024
20234ee942df-8fd9-437c-a9a6-e82a7cfdfb33,4ee942df-8fd9-437c-a9a6-e82a7cfdfb33,2023 International Conference on Data Science and Information Technology,2023
20224ee942df-8fd9-437c-a9a6-e82a7cfdfb33,4ee942df-8fd9-437c-a9a6-e82a7cfdfb33,2022 International Conference on Data Science and Information Technology,2022
20214ee942df-8fd9-437c-a9a6-e82a7cfdfb33,4ee942df-8fd9-437c-a9a6-e82a7cfdfb33,2021 International Conference on Data Science and Information Technology,2021
20204ee942df-8fd9-437c-a9a6-e82a7cfdfb33,4ee942df-8fd9-437c-a9a6-e82a7cfdfb33,2020 International Conference on Data Science and Information Technology,2020
2023975e1529-a14b-436f-ad7e-a09d8eabc50d,975e1529-a14b-436f-ad7e-a09d8eabc50d,2023 IEEE International Conference on Multimedia and Expo,2023
2022975e1529-a14b-436f-ad7e-a09d8eabc50d,975e1529-a14b-436f-ad7e-a09d8eabc50d,2022 IEEE International Conference on Multimedia and Expo,2022
2021975e1529-a14b-436f-ad7e-a09d8eabc50d,975e1529-a14b-436f-ad7e-a09d8eabc50d,2021 IEEE International Conference on Multimedia and Expo,2021
2020975e1529-a14b-436f-ad7e-a09d8eabc50d,975e1529-a14b-436f-ad7e-a09d8eabc50d,2020 IEEE International Conference on Multimedia and Expo,2020
2019975e1529-a14b-436f-ad7e-a09d8eabc50d,975e1529-a14b-436f-ad7e-a09d8eabc50d,2019 IEEE International Conference on Multimedia and Expo,2019
2023f63e4bb3-0e34-4ab9-8bf1-45fa94f94fe1,f63e4bb3-0e34-4ab9-8bf1-45fa94f94fe1,2023 International Conference on Recent Advances and Innovations in Engineering,2023
2022f63e4bb3-0e34-4ab9-8bf1-45fa94f94fe1,f63e4bb3-0e34-4ab9-8bf1-45fa94f94fe1,2022 International Conference on Recent Advances and Innovations in Engineering,2022
2021f63e4bb3-0e34-4ab9-8bf1-45fa94f94fe1,f63e4bb3-0e34-4ab9-8bf1-45fa94f94fe1,2021 International Conference on Recent Advances and Innovations in Engineering,2021
2020f63e4bb3-0e34-4ab9-8bf1-45fa94f94fe1,f63e4bb3-0e34-4ab9-8bf1-45fa94f94fe1,2020 International Conference on Recent Advances and Innovations in Engineering,2020
2019f63e4bb3-0e34-4ab9-8bf1-45fa94f94fe1,f63e4bb3-0e34-4ab9-8bf1-45fa94f94fe1,2019 International Conference on Recent Advances and Innovations in Engineering,2019
202347c47088-7640-441b-85ba-375fe8f5c3a4,47c47088-7640-441b-85ba-375fe8f5c3a4,2023 International Conference on Computing Communication and Networking Technologies,2023
202247c47088-7640-441b-85ba-375fe8f5c3a4,47c47088-7640-441b-85ba-375fe8f5c3a4,2022 International Conference on Computing Communication and Networking Technologies,2022
202147c47088-7640-441b-85ba-375fe8f5c3a4,47c47088-7640-441b-85ba-375fe8f5c3a4,2021 International Conference on Computing Communication and Networking Technologies,2021
202047c47088-7640-441b-85ba-375fe8f5c3a4,47c47088-7640-441b-85ba-375fe8f5c3a4,2020 International Conference on Computing Communication and Networking Technologies,2020
201947c47088-7640-441b-85ba-375fe8f5c3a4,47c47088-7640-441b-85ba-375fe8f5c3a4,2019 International Conference on Computing Communication and Networking Technologies,2019
20157c2ed62b-652b-4fc5-912c-c579b4c98c67,7c2ed62b-652b-4fc5-912c-c579b4c98c67,2015 International Conference on Intelligent Human-Machine Systems and Cybernetics,2015
20147c2ed62b-652b-4fc5-912c-c579b4c98c67,7c2ed62b-652b-4fc5-912c-c579b4c98c67,2014 International Conference on Intelligent Human-Machine Systems and Cybernetics,2014
20137c2ed62b-652b-4fc5-912c-c579b4c98c67,7c2ed62b-652b-4fc5-912c-c579b4c98c67,2013 International Conference on Intelligent Human-Machine Systems and Cybernetics,2013
20127c2ed62b-652b-4fc5-912c-c579b4c98c67,7c2ed62b-652b-4fc5-912c-c579b4c98c67,2012 International Conference on Intelligent Human-Machine Systems and Cybernetics,2012
20117c2ed62b-652b-4fc5-912c-c579b4c98c67,7c2ed62b-652b-4fc5-912c-c579b4c98c67,2011 International Conference on Intelligent Human-Machine Systems and Cybernetics,2011
2024a5ccc967-f56a-4ebf-beb0-4e0bfdd5785b,a5ccc967-f56a-4ebf-beb0-4e0bfdd5785b,"2024 International Symposium on Antennas, Propagation and EM Theory",2024
2023a5ccc967-f56a-4ebf-beb0-4e0bfdd5785b,a5ccc967-f56a-4ebf-beb0-4e0bfdd5785b,"2023 International Symposium on Antennas, Propagation and EM Theory",2023
2022a5ccc967-f56a-4ebf-beb0-4e0bfdd5785b,a5ccc967-f56a-4ebf-beb0-4e0bfdd5785b,"2022 International Symposium on Antennas, Propagation and EM Theory",2022
2021a5ccc967-f56a-4ebf-beb0-4e0bfdd5785b,a5ccc967-f56a-4ebf-beb0-4e0bfdd5785b,"2021 International Symposium on Antennas, Propagation and EM Theory",2021
2020a5ccc967-f56a-4ebf-beb0-4e0bfdd5785b,a5ccc967-f56a-4ebf-beb0-4e0bfdd5785b,"2020 International Symposium on Antennas, Propagation and EM Theory",2020
2020a47b9394-c5c7-4bc8-b8fc-b08f96954278,a47b9394-c5c7-4bc8-b8fc-b08f96954278,2020 IEEE International Geoscience and Remote Sensing Symposium,2020
2019a47b9394-c5c7-4bc8-b8fc-b08f96954278,a47b9394-c5c7-4bc8-b8fc-b08f96954278,2019 IEEE International Geoscience and Remote Sensing Symposium,2019
2018a47b9394-c5c7-4bc8-b8fc-b08f96954278,a47b9394-c5c7-4bc8-b8fc-b08f96954278,2018 IEEE International Geoscience and Remote Sensing Symposium,2018
2017a47b9394-c5c7-4bc8-b8fc-b08f96954278,a47b9394-c5c7-4bc8-b8fc-b08f96954278,2017 IEEE International Geoscience and Remote Sensing Symposium,2017
2016a47b9394-c5c7-4bc8-b8fc-b08f96954278,a47b9394-c5c7-4bc8-b8fc-b08f96954278,2016 IEEE International Geoscience and Remote Sensing Symposium,2016
201741bf9ed3-85b3-4c90-b015-150e31690253,41bf9ed3-85b3-4c90-b015-150e31690253,2017 Conference on Empirical Methods in Natural Language Processing,2017
201641bf9ed3-85b3-4c90-b015-150e31690253,41bf9ed3-85b3-4c90-b015-150e31690253,2016 Conference on Empirical Methods in Natural Language Processing,2016
201541bf9ed3-85b3-4c90-b015-150e31690253,41bf9ed3-85b3-4c90-b015-150e31690253,2015 Conference on Empirical Methods in Natural Language Processing,2015
201441bf9ed3-85b3-4c90-b015-150e31690253,41bf9ed3-85b3-4c90-b015-150e31690253,2014 Conference on Empirical Methods in Natural Language Processing,2014
201341bf9ed3-85b3-4c90-b015-150e31690253,41bf9ed3-85b3-4c90-b015-150e31690253,2013 Conference on Empirical Methods in Natural Language Processing,2013
20237a30a111-07e4-4ab7-a402-1990d9cd4832,7a30a111-07e4-4ab7-a402-1990d9cd4832,2023 Telecommunications Forum,2023
20227a30a111-07e4-4ab7-a402-1990d9cd4832,7a30a111-07e4-4ab7-a402-1990d9cd4832,2022 Telecommunications Forum,2022
20217a30a111-07e4-4ab7-a402-1990d9cd4832,7a30a111-07e4-4ab7-a402-1990d9cd4832,2021 Telecommunications Forum,2021
20207a30a111-07e4-4ab7-a402-1990d9cd4832,7a30a111-07e4-4ab7-a402-1990d9cd4832,2020 Telecommunications Forum,2020
20197a30a111-07e4-4ab7-a402-1990d9cd4832,7a30a111-07e4-4ab7-a402-1990d9cd4832,2019 Telecommunications Forum,2019
20080d6f7fba-7092-46b3-8039-93458dba736b,0d6f7fba-7092-46b3-8039-93458dba736b,"2008 IEEE International Conference on Acoustics, Speech, and Signal Processing",2008
20070d6f7fba-7092-46b3-8039-93458dba736b,0d6f7fba-7092-46b3-8039-93458dba736b,"2007 IEEE International Conference on Acoustics, Speech, and Signal Processing",2007
20060d6f7fba-7092-46b3-8039-93458dba736b,0d6f7fba-7092-46b3-8039-93458dba736b,"2006 IEEE International Conference on Acoustics, Speech, and Signal Processing",2006
